clip_id,group,scale,n_points,n_raw,n_dil,n_dilation_only
scene-0101_CAM_FRONT_d5324133_901cfd30,scene-0101,19.033726259772262,344544,770,2819,2049
scene-0101_CAM_FRONT_5c9d217c_7693424b,scene-0101,19.881731514649275,339376,922,3053,2131
scene-0101_CAM_FRONT_48ea4572_47fce09b,scene-0101,23.229282558900522,346351,2155,6977,4822
scene-0101_CAM_FRONT_eaad6827_9ce5d3ae,scene-0101,74.30216655927836,500398,18040,43836,25796
scene-0101_CAM_FRONT_59a27b7f_b2fecdf1,scene-0101,98.82891414141413,419211,18175,53213,35038
scene-0101_CAM_FRONT_dac52a02_2cdbffa3,scene-0101,82.1698439896472,336701,7288,21337,14049
scene-0101_CAM_FRONT_e2c7c91b_05e8bcef,scene-0101,92.33692399364404,335165,10321,30904,20583
scene-0101_CAM_FRONT_b43de5e5_21971c1e,scene-0101,70.18732411946263,326399,8214,26469,18255
scene-0102_CAM_FRONT_806011e8_ded4f73c,scene-0102,41.74212171052632,351633,7009,23255,16246
scene-0102_CAM_FRONT_bf5592d0_d5d6c0c4,scene-0102,36.58264994177019,286064,3265,9996,6731
scene-0102_CAM_FRONT_b9237446_7f11a83e,scene-0102,33.3426130319149,290194,2878,9418,6540
scene-0102_CAM_FRONT_32dbf459_1c79e219,scene-0102,36.56615423387097,314550,4791,15159,10368
scene-0102_CAM_FRONT_2eb164aa_cb8f79c8,scene-0102,29.973491561524444,341461,6026,20952,14926
scene-0102_CAM_FRONT_f4186246_3c7b830b,scene-0102,36.732005055880784,379993,7984,22661,14677
scene-0102_CAM_FRONT_8b06ab55_e26feac8,scene-0102,38.4721019847973,333476,6563,19646,13083
scene-0102_CAM_FRONT_9a95f1a1_7844c7bf,scene-0102,41.76688179347828,334818,6961,22773,15812
scene-0103_CAM_FRONT_3e8750f3_747aa46b,scene-0103,34.537749311478315,631401,16881,51855,34974
scene-0103_CAM_FRONT_f4f86af4_a98fba72,scene-0103,31.827936478334212,628679,14262,42978,28716
scene-0103_CAM_FRONT_b6b0d9f2_f753d3f8,scene-0103,36.29583095664928,595845,14111,40542,26431
scene-0103_CAM_FRONT_b22fa0b3_9ee40201,scene-0103,31.6749606092437,601597,10316,29512,19196
scene-0103_CAM_FRONT_5b03af7a_0af0feb5,scene-0103,32.02218686446833,608991,12268,35797,23529
scene-0103_CAM_FRONT_61d9340c_6d9984d0,scene-0103,29.24232287590833,620487,14371,40209,25838
scene-0103_CAM_FRONT_38a28a3a_1c9a906c,scene-0103,27.82026245364127,627902,11997,35715,23718
scene-0103_CAM_FRONT_a771effa_281b9226,scene-0103,29.507269099201814,624182,12453,35656,23203
scene-0104_CAM_FRONT_f1b7b463_17d84afe,scene-0104,27.75634610811667,619481,9556,29614,20058
scene-0104_CAM_FRONT_d597cf64_115f9017,scene-0104,31.47440573163507,624767,12591,36995,24404
scene-0104_CAM_FRONT_45266b13_bfc227cc,scene-0104,30.390451652735557,614609,13445,41047,27602
scene-0104_CAM_FRONT_6252789d_9d2eedd2,scene-0104,39.18534675973361,618532,11153,38698,27545
scene-0104_CAM_FRONT_620c129c_4c8a92a8,scene-0104,37.248470104333876,634679,13532,37222,23690
scene-0104_CAM_FRONT_b6060b7c_d58ef648,scene-0104,37.12794564440359,623614,14429,43466,29037
scene-0104_CAM_FRONT_c1522345_4207bb5a,scene-0104,33.47236358610823,564056,16034,42696,26662
scene-0105_CAM_FRONT_8d56b71c_dc3e689e,scene-0105,50.755649583963695,334912,9201,25894,16693
scene-0105_CAM_FRONT_f644a6fc_cef8438a,scene-0105,37.08513614829624,328973,6903,21515,14612
scene-0105_CAM_FRONT_70189da8_113bdf92,scene-0105,53.148476758793954,319243,8081,21675,13594
scene-0105_CAM_FRONT_43d141ef_a0d6bf47,scene-0105,38.33970938868042,320608,7870,24695,16825
scene-0105_CAM_FRONT_49ea7c2d_9d2797d7,scene-0105,31.836525076662365,321118,6163,20154,13991
scene-0105_CAM_FRONT_c3c95f1b_f144de57,scene-0105,29.35513640005828,316348,5787,17526,11739
scene-0105_CAM_FRONT_d948e055_9c763119,scene-0105,28.67477404806047,308335,5212,14860,9648
scene-0106_CAM_FRONT_04ebf635_cd6b9c46,scene-0106,30.24969548051075,312484,4466,13981,9515
scene-0106_CAM_FRONT_3865cf60_a7ef3c78,scene-0106,30.10424518808548,339501,6520,22450,15930
scene-0106_CAM_FRONT_01bbf47b_53f457e6,scene-0106,33.55048247866625,340280,7504,23904,16400
scene-0106_CAM_FRONT_277ab77d_ec97abd9,scene-0106,60.16073813056381,504886,12735,34445,21710
scene-0106_CAM_FRONT_42bcae21_16a1238a,scene-0106,62.357913192481604,493434,11588,32872,21284
scene-0106_CAM_FRONT_6f601010_16333de9,scene-0106,62.790703167949445,462544,13932,41080,27148
scene-0106_CAM_FRONT_a8cef1a6_77a603db,scene-0106,74.33585246598642,421492,11676,33263,21587
scene-0106_CAM_FRONT_e333147a_b4ee26d8,scene-0106,61.80965653875768,383679,11525,32747,21222
scene-0107_CAM_FRONT_ad890583_4d4ba963,scene-0107,47.5045756826742,344409,10182,30039,19857
scene-0107_CAM_FRONT_9a8659f4_9c9f22a5,scene-0107,60.71179207833453,493012,12732,43711,30979
scene-0107_CAM_FRONT_05e312ea_f06ba08d,scene-0107,58.452408456086694,482795,16988,49138,32150
scene-0107_CAM_FRONT_3212edb0_95be92f4,scene-0107,61.2488765822785,415252,13276,44819,31543
scene-0107_CAM_FRONT_9578a444_3fa862e6,scene-0107,65.60662368593954,432252,17461,57785,40324
scene-0107_CAM_FRONT_0edf95e4_efd5303b,scene-0107,40.79304915753653,505728,11774,35181,23407
scene-0107_CAM_FRONT_8f0808f0_adaf88de,scene-0107,23.995302894467216,631876,9502,30053,20551
scene-0107_CAM_FRONT_f1d02276_1ed7231f,scene-0107,26.771261951133138,535211,7611,25261,17650
scene-0108_CAM_FRONT_339ead96_3203d9ab,scene-0108,25.499245492053802,302769,5937,13796,7859
scene-0108_CAM_FRONT_ac36a852_d96d796d,scene-0108,29.231033530102952,379151,7450,22044,14594
scene-0108_CAM_FRONT_b6e313eb_151d7b90,scene-0108,31.437598494501074,274719,2377,7788,5411
scene-0108_CAM_FRONT_fcc71bcf_be8d80ab,scene-0108,28.47287060570799,260861,1562,5295,3733
scene-0108_CAM_FRONT_22dcaf42_d504f7d2,scene-0108,38.13326245765105,261814,2230,7230,5000
scene-0108_CAM_FRONT_049dbeaf_36cc659c,scene-0108,38.586831171253316,302608,6220,17428,11208
scene-0108_CAM_FRONT_a42f9468_0e62201c,scene-0108,27.622881634261688,338394,3878,10206,6328
scene-0109_CAM_FRONT_4d0d0697_b38d8cf8,scene-0109,30.38833912037036,377046,9645,32965,23320
scene-0109_CAM_FRONT_d71c3cf6_1183d8d6,scene-0109,29.540481541358727,342240,7858,26182,18324
scene-0109_CAM_FRONT_03f6a362_3ed3c3b3,scene-0109,29.578276545309787,318804,8054,23401,15347
scene-0109_CAM_FRONT_58472a34_ecc7ca46,scene-0109,30.31313920454546,384599,9552,26944,17392
scene-0109_CAM_FRONT_494438a3_e47ae596,scene-0109,31.728879955790067,397194,9574,28942,19368
scene-0109_CAM_FRONT_3b5b12f9_2e137fee,scene-0109,23.060929691837863,437213,10070,27153,17083
scene-0109_CAM_FRONT_8855fe65_f41444b8,scene-0109,20.96842880502491,535210,10440,29334,18894
scene-0109_CAM_FRONT_92eb4f29_daf998de,scene-0109,33.31634023695812,438559,9608,25883,16275
scene-0110_CAM_FRONT_80c91574_ae99f920,scene-0110,31.900287203286677,488881,13107,38332,25225
scene-0110_CAM_FRONT_76c84559_29264103,scene-0110,36.37815518629254,570891,16665,44006,27341
scene-0110_CAM_FRONT_d15bdc17_48d75ea2,scene-0110,37.22869579294786,553167,17069,46323,29254
scene-0110_CAM_FRONT_f809c883_77673232,scene-0110,37.846428571428575,573367,17815,48029,30214
scene-0110_CAM_FRONT_5697c1f2_9f184af2,scene-0110,35.100452442569484,542835,20146,57084,36938
scene-0110_CAM_FRONT_0ebd7d84_e0a1a4a5,scene-0110,36.931969218489726,443382,16384,45997,29613
scene-0110_CAM_FRONT_d9e20967_cbfdfa1a,scene-0110,36.85977298499652,472074,16507,48928,32421
scene-0110_CAM_FRONT_f5402402_741bbef6,scene-0110,33.68058132505004,506008,14556,40874,26318
scene-0221_CAM_FRONT_79070dca_daeec522,scene-0221,23.797614583333335,503918,8753,24847,16094
scene-0221_CAM_FRONT_8e21bcb6_99ca4527,scene-0221,19.375827657273156,660784,9824,25365,15541
scene-0221_CAM_FRONT_27db2832_524b696f,scene-0221,15.800208469439609,654668,5460,15607,10147
scene-0221_CAM_FRONT_bb9c0abe_5dd954d0,scene-0221,15.173577535377357,702807,5684,15202,9518
scene-0221_CAM_FRONT_af0f72a7_959c87c7,scene-0221,14.606552488887184,572547,4158,14984,10826
scene-0221_CAM_FRONT_fa48d104_e9ae8c38,scene-0221,17.424542798364296,471087,3143,10397,7254
scene-0221_CAM_FRONT_2d65df53_1244ad3a,scene-0221,17.179469741638083,451467,3529,11461,7932
scene-0268_CAM_FRONT_30e55a3e_01a7d01c,scene-0268,41.41640185684162,353434,10036,31364,21328
scene-0268_CAM_FRONT_a2fada92_3bf56ebb,scene-0268,33.34794976738063,372337,7731,23850,16119
scene-0268_CAM_FRONT_296fcfbf_dc2b67cd,scene-0268,42.61577767385564,406182,11298,34820,23522
scene-0268_CAM_FRONT_e1dffaba_3c18f85f,scene-0268,34.44274447363203,373378,6267,19770,13503
scene-0268_CAM_FRONT_08d95280_4094ae46,scene-0268,30.550140361821583,327190,4716,16453,11737
scene-0268_CAM_FRONT_df25b3ec_755ef1d0,scene-0268,29.677041517416004,325193,4236,13363,9127
scene-0268_CAM_FRONT_4f9ad42b_adcff599,scene-0268,25.00014863964992,291495,2620,7104,4484
scene-0269_CAM_FRONT_adce54dc_18f10858,scene-0269,20.474836349487305,508205,10198,30065,19867
scene-0269_CAM_FRONT_2d72c60d_14d8b492,scene-0269,20.717181096311474,553378,11995,35075,23080
scene-0269_CAM_FRONT_5973a055_0c97832d,scene-0269,23.039280582922817,573681,12472,38944,26472
scene-0269_CAM_FRONT_ca37a1ae_a4be46a1,scene-0269,27.681499313630493,510570,14891,45543,30652
scene-0269_CAM_FRONT_d02a787e_6e90bc36,scene-0269,26.862131958357185,542584,13313,36936,23623
