clip_id,sequence,a_clip,s_learned,s_oracle,s0,ratio_learned_over_oracle,abs_log_scale_err_learned,abs_log_scale_err_const,rel_scale_err_learned,rel_scale_err_const,frame_median_std,frame_median_range,median_abs_r_shape,rms_r_shape,rms_r,scalar_energy_fraction,n_support_px,frame_median_0,frame_median_1,frame_median_2,frame_median_3,frame_median_4
08_000925_000945_s5,08,-0.02092546783387661,26.79979316609128,25.759100668915437,27.3665,1.040400963937056,0.03960618109813563,0.060531648932011795,0.040400963937055945,0.062401220902260635,0.015232161158496177,0.04446731403004378,0.024089694023132324,0.041164413642381485,0.048272389355320376,0.18791124119540864,337489,-0.03193556144833565,-0.022305725142359734,-0.0020282502518966794,-0.04649556428194046,-0.013603915460407734
08_000950_000970_s5,08,-0.0393777247518301,26.30981103788358,26.507648316909883,27.3665,0.9925365963566033,0.007491394197201906,0.031886330554628195,0.007463403643396704,0.0324001462831478,0.0174483706495856,0.044005271047353745,0.027362678200006485,0.03581261349021919,0.053361312283419324,0.5445631316610752,327738,-0.06094852089881897,-0.05724241957068443,-0.05714235454797745,-0.031446244567632675,-0.016943249851465225
08_000975_000995_s5,08,0.05427238345146179,28.89278821053182,29.185404980400538,27.3665,0.9899738663874897,0.010076733790318038,0.06434911724178027,0.010026133612510257,0.06232241703077357,0.010489035110150055,0.03164603374898434,0.029058843851089478,0.04122075477815142,0.06044229380615413,0.8062614850666363,312331,0.06738201901316643,0.05956783518195152,0.03573598526418209,0.0565368365496397,0.05661076679825783
08_001000_001020_s5,08,-0.03888224437832832,26.322850262956685,27.321467158921948,27.3665,0.963449367848492,0.03723534274361695,0.001646901634711373,0.036550632151508,0.00164825852199324,0.0135022695831288,0.03760145790874958,0.028924038633704185,0.03448279875810856,0.05073337432356474,0.5873745885698263,295406,-0.013891125097870827,-0.048681022599339485,-0.05149258300662041,-0.03635703772306442,-0.043940652161836624
08_001025_001045_s5,08,0.05934523791074753,29.039729510848417,31.271833654577737,27.3665,0.928622537188427,0.07405293361929477,0.1333981715300423,0.07137746281157298,0.124883423777296,0.036166003325381495,0.10527507215738297,0.05025660898536444,0.05241128501411262,0.0771104082649351,0.5923054727402038,333227,0.10017054155468941,0.11646248400211334,0.07338471338152885,0.06342101097106934,0.011187411844730377
08_001050_001070_s5,08,0.05995682626962662,29.057495303484465,29.872970547552136,27.3665,0.9727019031210978,0.02767761257416712,0.08763443884379374,0.027298096878902167,0.0839042954754804,0.017952037733385637,0.0454118438065052,0.038442619144916534,0.04653369482172227,0.07136316282260126,0.7058770995287839,328709,0.09255297482013702,0.07590879499912262,0.08173094689846039,0.04976721666753292,0.04714113101363182
08_001075_001095_s5,08,-0.02958024200052023,26.568847839927795,26.713390881414238,27.3665,0.9945891166670642,0.005425575183382492,0.024154666817137738,0.005410883332935823,0.02444875386599299,0.01825901289958982,0.05498881480889395,0.023123213090002537,0.032031292723405276,0.04253491942647701,0.48362886835054975,328100,-0.023720133118331432,-0.0011636705021373928,-0.05615248531103134,-0.039028350263834,-0.03619319200515747
08_001100_001120_s5,08,-0.017632199451327324,26.888197567393867,27.425518696302756,27.3665,0.9804079866324888,0.019786481061392358,0.002154281610065034,0.019592013367511152,0.0021519628108516153,0.0222893225402062,0.06243162974715233,0.02233029785566032,0.03558434242054823,0.04133754409722967,0.18193809256088844,324880,-0.028223191387951374,-0.054979389533400536,-0.02930000238120556,-0.0010223571443930268,0.007452240213751793
08_001125_001145_s5,08,0.0009296097559854388,27.39195199376512,27.90398656815902,27.3665,0.9816501282659669,0.018520318973742622,0.019449928729728505,0.01834987173403313,0.019261999243231465,0.02232236930244234,0.06900799460709095,0.01685813709627837,0.036059015489245845,0.035950046600034286,0.0006686555141011879,328228,0.03583319112658501,0.00031700736144557595,-0.010002910159528255,0.0031220902455970645,-0.03317480348050594
08_001150_001170_s5,08,0.001982507645152509,27.42080811080607,27.950065346788342,27.3665,0.981064186097043,0.019117392304326852,0.021099899949479806,0.018935813902956955,0.02087885446949056,0.009311972005477469,0.02700553461909294,0.011325352475978434,0.026156331751522665,0.02613015211197394,0.005756332417995692,345668,-0.01388474041596055,0.0014406067202799022,0.013120794203132391,0.00931976642459631,8.2600956375245e-05
