clip_id,group,condition,corrector,is_oracle,scale_used,tp,fp,fn,precision,recall,iou,n_pred_occupied,canonical_occupied,native_occupied,frac_pred_in_eval_mask,n_fused_points,frac_points_in_grid
08_000175_000195_s5,08,G51-A,dilate_r2,0,26.24963296979866,36662,149131,108347,0.19732713288444667,0.25282568668151634,0.12464132725912831,185793,204506,204506,0.9084965722277097,331957,0.5383829833382034
08_000175_000195_s5,08,G51-B,raw,0,34.533301999266335,13684,19198,131325,0.4161547351134359,0.09436655655855844,0.08333384082286382,32882,43348,43348,0.7585586416905048,331794,0.5051417445764541
08_000175_000195_s5,08,G51-B,dilate_r2,0,34.533301999266335,75291,140761,69718,0.34848554977505414,0.5192160486590488,0.2634671239108374,216052,309156,309156,0.698844596255612,331794,0.5051417445764541
08_000175_000195_s5,08,G51-C,raw,0,25.42535197041272,2769,27186,142240,0.09243865798698048,0.019095366494493445,0.016080606289381225,29955,30693,30693,0.9759554295767765,331957,0.5421485312856785
08_000175_000195_s5,08,G51-C,dilate_r2,0,25.42535197041272,32911,146565,112098,0.18337270721433507,0.22695832672454813,0.11287357583323616,179476,194937,194937,0.9206871963762652,331957,0.5421485312856785
08_000175_000195_s5,08,G51-D,raw,0,43.25523235701106,2161,18755,142848,0.10331803404092561,0.01490252329165776,0.013195818372780343,20916,43374,43374,0.48222437404896945,328920,0.3408245165997811
08_000175_000195_s5,08,G51-D,dilate_r2,0,43.25523235701106,38826,133090,106183,0.22584285348658648,0.2677488983442407,0.1396121525068411,171916,361324,361324,0.4757945777197197,328920,0.3408245165997811
08_000200_000220_s5,08,M0,raw,0,27.3665,4269,19048,146076,0.18308530256894112,0.02839469220792178,0.025201749777145455,23317,28225,28225,0.8261116031886625,308075,0.5469155238172523
08_000200_000220_s5,08,M0,dilate_r2,0,27.3665,37748,115386,112597,0.24650306267713246,0.25107585885796,0.1420534299724157,153134,188229,188229,0.8135515781308937,308075,0.5469155238172523
08_000200_000220_s5,08,M1,raw,0,33.409392282439846,15160,16021,135185,0.4861935152817421,0.10083474674914364,0.09112438839666759,31181,36534,36534,0.8534789511140307,308066,0.5312238286600923
08_000200_000220_s5,08,M1,dilate_r2,0,33.409392282439846,57946,126860,92399,0.3135504258519745,0.38542020020619244,0.20903663353835608,184806,259584,259584,0.7119313979289941,308066,0.5312238286600923
08_000200_000220_s5,08,OR,raw,1,35.4463497065663,12945,16308,137400,0.44251871602912524,0.08610196547939739,0.0776763694622959,29253,39021,39021,0.7496732528638426,308037,0.5242616958352406
08_000200_000220_s5,08,OR,dilate_r2,1,35.4463497065663,63269,125215,87076,0.33567305447677254,0.42082543483321694,0.2296015386848599,188484,279992,279992,0.6731763764678991,308037,0.5242616958352406
08_000200_000220_s5,08,G51-A,raw,0,25.71278701351016,2820,18678,147525,0.13117499302260677,0.018756859223785293,0.016684119912674607,21498,25806,25806,0.8330620785863753,308075,0.5504406394546782
08_000200_000220_s5,08,G51-A,dilate_r2,0,25.71278701351016,32528,108587,117817,0.23050703327073663,0.21635571518840002,0.1256237158790725,141115,168233,168233,0.8388068928212657,308075,0.5504406394546782
08_000200_000220_s5,08,G51-B,raw,0,32.957928856382985,14767,16199,135578,0.4768778660466318,0.09822075892114802,0.08866725910269958,30966,35927,35927,0.8619144376095972,308072,0.5325605702563038
08_000200_000220_s5,08,G51-B,dilate_r2,0,32.957928856382985,56434,126779,93911,0.3080239939305617,0.37536333100535435,0.20364169108413563,183213,254546,254546,0.7197638147918255,308072,0.5325605702563038
