clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction
08_000575_000595_s5,G51-C,4,34810,18.03253611438679,0.04035569617326318,0.8898844661831675,0.7368864901332434
08_000600_000620_s5,G51-C,0,34451,21.992160926870746,0.02576557931862844,0.8746415921740597,0.7269564850733682
08_000600_000620_s5,G51-C,1,34214,22.55438776299504,0.01841718774641521,0.8779094282341036,0.721411705177939
08_000600_000620_s5,G51-C,2,33440,21.815299972040606,0.022332598685565808,0.8799544611232923,0.7050092764378478
08_000600_000620_s5,G51-C,3,34654,21.134536921838407,0.023092888448427384,0.8895260583572272,0.7325855962219598
08_000600_000620_s5,G51-C,4,33914,20.89451806593539,0.028702952564347406,0.8965677179962894,0.7152133580705009
08_000625_000645_s5,G51-C,0,37085,23.02888106531229,0.03359955159008532,0.911072693540226,0.7872954967110811
08_000625_000645_s5,G51-C,1,36360,20.98835146037581,0.0451471919260682,0.9199274751222803,0.7861359419800978
08_000625_000645_s5,G51-C,2,37019,22.06479818258664,0.03788923839582736,0.9282341035587789,0.8035292629448474
08_000625_000645_s5,G51-C,3,38509,21.837185982308043,0.03692355037613737,0.9404199696407488,0.8255186372069488
08_000625_000645_s5,G51-C,4,35730,22.65472418408153,0.041855645248778384,0.9386911789509192,0.7646947208635521
08_000650_000670_s5,G51-C,0,37343,22.23891836564171,0.023329103813362728,0.9323663349637376,0.7877382357901839
08_000650_000670_s5,G51-C,1,37578,22.292489151143105,0.024914180289406396,0.9387333445775005,0.792966773486254
08_000650_000670_s5,G51-C,2,37000,21.18072745714806,0.025936980609040594,0.9386068476977568,0.7802116714454377
08_000650_000670_s5,G51-C,3,34928,21.201596753794266,0.019156117341046386,0.9367515601281835,0.7371605667060213
08_000650_000670_s5,G51-C,4,35866,20.24195308560262,0.01934805630674785,0.9411157024793388,0.7570627424523528
08_000675_000695_s5,G51-C,0,39004,20.52917644101877,0.02548105479821272,0.9449949401248102,0.8412042502951594
08_000675_000695_s5,G51-C,1,39287,22.688831064520404,0.03909566558807587,0.9467448136279305,0.848920559959521
08_000675_000695_s5,G51-C,2,40054,22.502493820621474,0.0480916088699912,0.9487687637038287,0.8607901838421319
08_000675_000695_s5,G51-C,3,39474,20.946908757716045,0.038523743766823326,0.9428866587957497,0.8555616461460618
08_000675_000695_s5,G51-C,4,38747,22.184324468928345,0.03364633397228323,0.9391128352167313,0.8432914488109293
08_000700_000720_s5,G51-C,0,35374,18.890259740259737,0.035069168119898464,0.9298574801821555,0.7642941474110305
08_000700_000720_s5,G51-C,1,38551,18.935430587788094,0.049798565976518105,0.953449148254343,0.822841119919042
08_000700_000720_s5,G51-C,2,43290,19.19629971590909,0.02553325389507055,0.9814260414909766,0.9239121268342048
08_000700_000720_s5,G51-C,3,43163,21.416670269268774,0.023450966047545485,0.9626412548490471,0.9261047394164277
08_000700_000720_s5,G51-C,4,36706,20.324710854092526,0.035985794969498386,0.8981489289930848,0.7815609714960364
08_000725_000745_s5,G51-C,0,36379,22.474643319685825,0.028291188070553197,0.8590403103390116,0.7762481025468039
08_000725_000745_s5,G51-C,1,35516,22.32656726371951,0.02257950837198508,0.8333614437510541,0.7635562489458594
08_000725_000745_s5,G51-C,2,35742,21.968663155058984,0.020965862618578024,0.8538539382695227,0.7774919885309496
08_000725_000745_s5,G51-C,3,36354,22.065747304313096,0.03500974925271105,0.8823157362118401,0.799059706527239
08_000725_000745_s5,G51-C,4,34503,21.68449593058968,0.027830854557683082,0.8707834373418789,0.754385225164446
08_000750_000770_s5,G51-C,0,38180,24.877225281762296,0.012219999331341436,0.8907488615280823,0.8275636700961376
08_000750_000770_s5,G51-C,1,37407,24.052071931552838,0.01938762246316106,0.8793219767245741,0.8062700286726261
08_000750_000770_s5,G51-C,2,37982,25.13684665602489,0.026599060863688573,0.8817043346264125,0.8260246247259234
08_000750_000770_s5,G51-C,3,38894,24.128193681318685,0.02424218787356791,0.909364985663687,0.8337198515769945
08_000750_000770_s5,G51-C,4,39491,24.01018108190709,0.022898547850641826,0.9257463315904875,0.8376834204756283
08_000775_000795_s5,G51-C,0,40717,21.054620937804284,0.07266620173918703,0.9337999662674987,0.869602799797605
08_000775_000795_s5,G51-C,1,39392,19.949472966269838,0.051658299210112,0.92897200202395,0.8410988362287064
08_000775_000795_s5,G51-C,2,37266,20.016398292183347,0.044566352074472126,0.912674987350312,0.8052791364479677
08_000775_000795_s5,G51-C,3,37778,20.357979045542635,0.04033284258515368,0.8970104570753922,0.8127213695395513
08_000775_000795_s5,G51-C,4,44959,19.71543480237634,0.050255932271106474,0.9889315230224321,0.9559580030359252
08_000800_000820_s5,G51-C,0,45168,18.76291764721979,0.02247942424242355,0.9844198009782426,0.9567591499409681
08_000800_000820_s5,G51-C,1,38407,19.65408944725094,0.021137012902613606,0.910967279473773,0.8131008601787822
08_000800_000820_s5,G51-C,2,32935,19.44974280447193,0.015779284463152354,0.8647748355540563,0.7040605498397706
