clip_id,condition,corrector,band,tp,fp,fn,precision,recall,iou,n_pred_occupied
08_000025_000045_s5,G51-B,dilate_r2,0-10m,4889,8453,2863,0.3664368160695548,0.6306759545923633,0.30169700709657515,13342
08_000025_000045_s5,G51-B,dilate_r2,10-20m,9493,36967,12851,0.20432630219543693,0.4248567848191908,0.1600546273035356,46460
08_000025_000045_s5,G51-B,dilate_r2,20-30m,2910,38158,16882,0.07085808902308367,0.14702910266774455,0.05021570319240725,41068
08_000025_000045_s5,G51-B,dilate_r2,30-40m,265,14551,8198,0.017886069114470843,0.03131277324825712,0.011514730164247849,14816
08_000025_000045_s5,G51-C,raw,0-10m,120,2742,7632,0.041928721174004195,0.015479876160990712,0.011435105774728416,2862
08_000025_000045_s5,G51-C,raw,10-20m,381,11465,21963,0.032162755360459226,0.0170515574650913,0.011269188677571061,11846
08_000025_000045_s5,G51-C,raw,20-30m,26,3757,19766,0.006872852233676976,0.0013136620856911885,0.0011040808526901354,3783
08_000025_000045_s5,G51-C,raw,30-40m,0,286,8463,0.0,0.0,0.0,286
08_000025_000045_s5,G51-C,dilate_r2,0-10m,4194,11269,3558,0.2712280928668434,0.5410216718266254,0.22049313916197885,15463
08_000025_000045_s5,G51-C,dilate_r2,10-20m,5675,50284,16669,0.1014135349094873,0.25398317221625494,0.07813790824475408,55959
08_000025_000045_s5,G51-C,dilate_r2,20-30m,1153,27996,18639,0.03955538783491715,0.058255860953920775,0.024127395998995563,29149
08_000025_000045_s5,G51-C,dilate_r2,30-40m,2,5134,8461,0.0003894080996884735,0.00023632281696797826,0.0001470912701331176,5136
08_000025_000045_s5,G51-D,raw,0-10m,1742,321,6010,0.844401357246728,0.22471620227038183,0.21578099838969403,2063
08_000025_000045_s5,G51-D,raw,10-20m,2315,2118,20029,0.5222197157681029,0.10360723236663086,0.09463657918404056,4433
08_000025_000045_s5,G51-D,raw,20-30m,1764,5679,18028,0.2370012091898428,0.0891269199676637,0.06925523143967649,7443
08_000025_000045_s5,G51-D,raw,30-40m,345,1556,8118,0.18148342977380327,0.04076568592697625,0.034434574308813255,1901
08_000025_000045_s5,G51-D,dilate_r2,0-10m,4521,4485,3231,0.5019986675549634,0.583204334365325,0.36945329737680804,9006
08_000025_000045_s5,G51-D,dilate_r2,10-20m,7383,21011,14961,0.26001972247657956,0.33042427497314714,0.1702917771883289,28394
08_000025_000045_s5,G51-D,dilate_r2,20-30m,6418,31202,13374,0.1706007442849548,0.32427243330638644,0.12585794407185158,37620
08_000025_000045_s5,G51-D,dilate_r2,30-40m,1680,11004,6783,0.13245033112582782,0.19851116625310175,0.08629989212513485,12684
08_000050_000070_s5,M0,raw,0-10m,3026,752,4838,0.8009528851244044,0.3847914547304171,0.3512070566388115,3778
08_000050_000070_s5,M0,raw,10-20m,7487,8249,20104,0.47578800203355365,0.2713566017904389,0.20890066964285714,15736
08_000050_000070_s5,M0,raw,20-30m,4318,1144,25017,0.7905529110216039,0.14719618203511164,0.14167131467567834,5462
08_000050_000070_s5,M0,raw,30-40m,1520,89,32493,0.944686140459913,0.0446887954605592,0.04457216585537505,1609
08_000050_000070_s5,M0,dilate_r2,0-10m,4924,10219,2940,0.325166743709965,0.626144455747711,0.2722999502294973,15143
08_000050_000070_s5,M0,dilate_r2,10-20m,14919,51454,12672,0.22477513446732858,0.5407197999347614,0.18874059080270733,66373
08_000050_000070_s5,M0,dilate_r2,20-30m,17249,26486,12086,0.3943980793414885,0.5880006817794443,0.3090055713799466,43735
08_000050_000070_s5,M0,dilate_r2,30-40m,11683,10187,22330,0.5342021033379059,0.3434863140563902,0.2643212669683258,21870
08_000050_000070_s5,M1,raw,0-10m,1849,2163,6015,0.46086739780658026,0.23512207527975584,0.18440211429141318,4012
08_000050_000070_s5,M1,raw,10-20m,4578,11291,23013,0.28848698720776356,0.16592367076220507,0.11774085695180289,15869
08_000050_000070_s5,M1,raw,20-30m,2707,2569,26628,0.5130780894617134,0.09227884779273905,0.08484829488465397,5276
08_000050_000070_s5,M1,raw,30-40m,837,488,33176,0.6316981132075472,0.024608238026636874,0.024260166371989217,1325
08_000050_000070_s5,M1,dilate_r2,0-10m,5001,13013,2863,0.27761740868213614,0.6359359104781281,0.2395459117689323,18014
08_000050_000070_s5,M1,dilate_r2,10-20m,14260,59062,13331,0.19448460216578925,0.5168351998840202,0.1645644120803665,73322
08_000050_000070_s5,M1,dilate_r2,20-30m,17122,29565,12213,0.3667402060530769,0.5836713823078234,0.2906960950764007,46687
08_000050_000070_s5,M1,dilate_r2,30-40m,9604,11985,24409,0.44485617675668165,0.28236262605474377,0.20879168659506936,21589
08_000050_000070_s5,OR,raw,0-10m,2555,574,5309,0.8165548098434005,0.32489827060020343,0.3027968712965158,3129
