clip_id,scene,scale_tag,frame,offset,rot_err_deg,trans_err_m,trans_mag_pred_m,trans_mag_gt_m,trans_mag_ratio,trans_dir_err_deg
scene-0626_CAM_FRONT_340a5f3d_bb08ec78,scene-0626,oracle,1,-3,0.48678638891726045,0.1568303305793928,3.1730888325006883,3.327351826339797,0.9536379072937401,0.4983337345730823
scene-0626_CAM_FRONT_340a5f3d_bb08ec78,scene-0626,oracle,2,-2,0.2734099077232,0.034661686540372785,2.047085450720281,2.013005446848947,1.0169299114042047,0.17847833801339827
scene-0626_CAM_FRONT_340a5f3d_bb08ec78,scene-0626,oracle,3,-1,0.34871289313701076,0.20118094757397523,0.7396927868127318,0.9391081296437334,0.7876545452687613,1.828343416308984
scene-0626_CAM_FRONT_945de6d3_21658dc6,scene-0626,const,0,-4,0.20874420079166106,0.5892937001831203,1.3531422902728028,0.7722278402089473,1.7522578438853917,5.552419359152106
scene-0626_CAM_FRONT_945de6d3_21658dc6,scene-0626,const,1,-3,0.2380476045518424,0.272099673726196,0.633884971191143,0.36556089392845537,1.7340065136048217,5.378448402261568
scene-0626_CAM_FRONT_945de6d3_21658dc6,scene-0626,const,2,-2,0.15021844160675177,0.24966672636144094,0.3981156061791395,0.15066924191903563,2.6423150545422724,7.778194084792693
scene-0626_CAM_FRONT_945de6d3_21658dc6,scene-0626,const,3,-1,0.08151346881717639,0.14128774216548304,0.19850840090496252,0.058519292788251104,3.3921872846832657,10.173366543107042
scene-0626_CAM_FRONT_945de6d3_21658dc6,scene-0626,oracle,0,-4,0.20874420079166106,0.07529849632174565,0.759272566080174,0.7722278402089473,0.9832235080707944,5.55241935915204
scene-0626_CAM_FRONT_945de6d3_21658dc6,scene-0626,oracle,1,-3,0.2380476045518424,0.03524861305211689,0.355684300265957,0.36556089392845537,0.9729823571762265,5.378448402261636
scene-0626_CAM_FRONT_945de6d3_21658dc6,scene-0626,oracle,2,-2,0.15021844160675177,0.07686112938248454,0.2233898534345992,0.15066924191903563,1.4826506763380483,7.778194084792739
scene-0626_CAM_FRONT_945de6d3_21658dc6,scene-0626,oracle,3,-1,0.08151346881717639,0.05477152501482953,0.11138664723367434,0.058519292788251104,1.9034175214099203,10.173366543107004
scene-0626_CAM_FRONT_73aabbd3_b822fb7e,scene-0626,const,0,-4,0.5376977464172054,1.6682952673002527,5.806736973017971,4.142484395520223,1.4017522864533922,1.3559998965234228
scene-0626_CAM_FRONT_73aabbd3_b822fb7e,scene-0626,const,1,-3,0.39244748455055806,1.2055812941809931,4.696698286160476,3.4935471344441806,1.3443924199144133,1.082205164399906
scene-0626_CAM_FRONT_73aabbd3_b822fb7e,scene-0626,const,2,-2,0.4550823323395578,0.6675626444289763,3.130815105218229,2.4652800348278174,1.269963274349437,1.0722263677846706
scene-0626_CAM_FRONT_73aabbd3_b822fb7e,scene-0626,const,3,-1,0.1720414282476084,0.364363380101476,1.576577853282144,1.213309581561607,1.2994027882422121,1.1694212702914322
scene-0626_CAM_FRONT_73aabbd3_b822fb7e,scene-0626,oracle,0,-4,0.5376977464172054,0.12505001501874796,4.218962574864799,4.142484395520223,1.0184619112693052,1.3559998965236917
scene-0626_CAM_FRONT_73aabbd3_b822fb7e,scene-0626,oracle,1,-3,0.39244748455055806,0.10406669783587066,3.412449089190278,3.4935471344441806,0.9767863314468189,1.082205164399906
