method,dimension,lo,hi,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
dilation,boundary,2,inf,358987,1517013,2233584,25362894,29472478,2592571,1876000,0.08735361048709553,0.19135767590618336,0.13846756752274095,0.05643669079658646,0.08796583035875029,0.7236060266044787
dilation,gt_distance,0,0.4,3079428,0,8878162,0,11957590,11957590,3079428,0.25752915094095047,1.0,0.25752915094095047,0.0,1.0,0.25752915094095047
dilation,gt_distance,0.4,1,0,1156360,0,7609492,8765852,0,1156360,0.0,0.0,0.0,0.13191644120845297,0.0,0.0
dilation,gt_distance,1,2,0,803622,0,13599620,14403242,0,803622,0.0,0.0,0.0,0.05579452181668544,0.0,0.0
dilation,gt_distance,2,5,0,310739,0,16309749,16620488,0,310739,0.0,0.0,0.0,0.01869614177393588,0.0,0.0
dilation,gt_distance,5,inf,0,1365,0,347077,348442,0,1365,0.0,0.0,0.0,0.003917438196313877,0.0,0.0
seed0,height,-inf,0,2322481,193341,90456,633,2606911,2412937,2515822,0.8911102345950815,0.923149968479487,0.9625120755328465,0.9967366760493674,0.9255923965183315,1.0426389085168821
seed0,height,0,1,1241851,278635,3646969,3637018,8804473,4888820,1520486,0.24032158964132247,0.8167460930255195,0.2540185566251161,0.0711592676879182,0.5552654883489335,0.31101288245425274
seed0,height,1,2,93066,309006,942339,8928312,10272723,1035405,402072,0.0692243666557325,0.23146600608846177,0.08988366870934562,0.033451917537103304,0.1007916790903444,0.38832340968027
seed0,height,2,3,100915,351194,1177714,14270548,15900371,1278629,452109,0.06191776653047601,0.22320944727930653,0.0789243791592401,0.024018615565778688,0.08041504188801632,0.3535888830927501
seed0,height,3,inf,592743,997173,1749056,11172164,14511136,2341799,1589916,0.17752260276516246,0.3728140354584771,0.25311437915892865,0.08194144019513963,0.16137943990050124,0.6789293188698091
seed0,range,0,10,601276,200065,732071,5602273,7135685,1333347,801341,0.39211640446272755,0.7503372471893988,0.4509523777381282,0.03448006648354508,0.18685620231274222,0.600999589754205
seed0,range,10,20,1362293,738495,2010986,12267655,16379429,3373279,2100788,0.3313151452390136,0.6484676226254148,0.40384830309025727,0.05678044617354098,0.20594606808332575,0.6227732719410402
seed0,range,20,30,1294601,676574,2152912,10680497,14804584,3447513,1971175,0.3139121458882899,0.6567661420218905,0.3755173657068153,0.05957293037967272,0.2328679414430017,0.5717672420669625
seed0,range,30,40,887643,423912,2044339,7987935,11343829,2931982,1311555,0.26450269287408956,0.6767867150062331,0.30274503731605446,0.050394639845446544,0.25846493278415955,0.44732709818818805
seed0,range,40,inf,205243,90303,666226,1470315,2432087,871469,295546,0.21340088919203304,0.6944536552685538,0.23551382780110366,0.05786361556767896,0.3583214745196204,0.3391354138816183
seed0,boundary,0,0.4,1043598,554383,95466,302237,1995684,1139064,1597981,0.6162566646608958,0.6530728462979222,0.9161890815617033,0.6471749433821298,0.570763708082041,1.4028895654677875
seed0,boundary,0.4,1,1711875,296747,432034,1011980,3452636,2143909,2008622,0.7013995417625425,0.8522633925148684,0.7984830512862253,0.22674476800738427,0.6209484579318526,0.9368970418054124
seed0,boundary,1,2,1366954,520971,4715092,10571799,17174816,6082046,1887925,0.20701960936947458,0.7240510083822186,0.22475232841053816,0.046964914985166015,0.3541258316828547,0.31040952337420663
seed0,boundary,2,inf,228629,757248,2363942,26122659,29472478,2592571,985877,0.06825115028603038,0.23190418277330743,0.08818620589368623,0.02817152603987804,0.08796583035875029,0.38027000996308297
seed0,gt_distance,0,0.4,4351056,0,7606534,0,11957590,11957590,4351056,0.3638739913310291,1.0,0.3638739913310291,0.0,1.0,0.3638739913310291
seed0,gt_distance,0.4,1,0,823791,0,7942061,8765852,0,823791,0.0,0.0,0.0,0.09397728823165163,0.0,0.0
seed0,gt_distance,1,2,0,607666,0,13795576,14403242,0,607666,0.0,0.0,0.0,0.04218952927403428,0.0,0.0
seed0,gt_distance,2,5,0,626625,0,15993863,16620488,0,626625,0.0,0.0,0.0,0.03770196157898613,0.0,0.0
seed0,gt_distance,5,inf,0,71267,0,277175,348442,0,71267,0.0,0.0,0.0,0.2045304527008799,0.0,0.0
seed1,height,-inf,0,2350612,193803,62325,171,2606911,2412937,2544415,0.9017439407075504,0.9238320006759904,0.9741704818650466,0.9991184385536206,0.9255923965183315,1.0544887827572789
seed1,height,0,1,1280058,306684,3608762,3608969,8804473,4888820,1586742,0.24637802222844982,0.8067209414006814,0.2618337349299013,0.07832256841962247,0.5552654883489335,0.32456543705843127
seed1,height,1,2,94802,346125,940603,8891193,10272723,1035405,440927,0.06862102162095647,0.2150061121228684,0.09156030731935813,0.03747029170155233,0.1007916790903444,0.42584978824711106
seed1,height,2,3,98702,386304,1179927,14235438,15900371,1278629,485006,0.05928286603725195,0.20350676074110424,0.07719361910296106,0.026419834244100326,0.08041504188801632,0.3793172218055433
seed1,height,3,inf,870358,1820804,1471441,10348533,14511136,2341799,2691162,0.20908984114026727,0.32341345485704687,0.3716621281331148,0.14962228427070431,0.16137943990050124,1.1491857328489763
seed1,range,0,10,585211,215964,748136,5586374,7135685,1333347,801175,0.37772338800925054,0.7304409149062314,0.43890375123654984,0.03722016883539015,0.18685620231274222,0.6008750910303169
seed1,range,10,20,1414188,966455,1959091,12039695,16379429,3373279,2380643,0.32586974224687504,0.5940361490572085,0.4192324441589326,0.0743075391257213,0.20594606808332575,0.7057355765710456
seed1,range,20,30,1422283,1012896,2025230,10344175,14804584,3447513,2435179,0.31886829212298695,0.5840568598858646,0.41255333917522574,0.08918637560687963,0.2328679414430017,0.7063581776196348
seed1,range,30,40,1017465,696510,1914517,7715337,11343829,2931982,1713975,0.28040987826347696,0.5936288452281976,0.3470229353386208,0.08280107805099166,0.25846493278415955,0.5845789639909112
seed1,range,40,inf,255385,161895,616084,1398723,2432087,871469,417280,0.24713943973275632,0.612023101993865,0.2930511584462557,0.10373775004517441,0.3583214745196204,0.4788236873600782
seed1,boundary,0,0.4,1025512,531390,113552,325230,1995684,1139064,1556902,0.6139121460393402,0.6586875731420475,0.9003111326492629,0.6203334033760594,0.570763708082041,1.3668257446464818
seed1,boundary,0.4,1,1956997,870218,186912,438509,3452636,2143909,2827215,0.6492748978394076,0.6921995674188203,0.9128171951328158,0.664934703723542,0.6209484579318526,1.3187196844642193
seed1,boundary,1,2,1483466,810037,4598580,10282733,17174816,6082046,2293503,0.2152420393080002,0.6468123215884174,0.2439090398198238,0.07302387050303936,0.3541258316828547,0.3770939910681373
seed1,boundary,2,inf,228557,842075,2364014,26037832,29472478,2592571,1070632,0.06654455801267438,0.213478580875595,0.08815843423381654,0.03132730332735154,0.08796583035875029,0.4129614965221782
seed1,gt_distance,0,0.4,4694532,0,7263058,0,11957590,11957590,4694532,0.3925985085623441,1.0,0.3925985085623441,0.0,1.0,0.3925985085623441
seed1,gt_distance,0.4,1,0,993708,0,7772144,8765852,0,993708,0.0,0.0,0.0,0.11336125684074977,0.0,0.0
seed1,gt_distance,1,2,0,823623,0,13579619,14403242,0,823623,0.0,0.0,0.0,0.057183167511869894,0.0,0.0
seed1,gt_distance,2,5,0,1123191,0,15497297,16620488,0,1123191,0.0,0.0,0.0,0.06757870166026413,0.0,0.0
seed1,gt_distance,5,inf,0,113198,0,235244,348442,0,113198,0.0,0.0,0.0,0.3248689882390757,0.0,0.0
seed2,height,-inf,0,2316859,193016,96078,958,2606911,2412937,2509875,0.8890640007705435,0.9230973654066438,0.9601821348837537,0.995061193768237,0.9255923965183315,1.040174277239729
seed2,height,0,1,1207434,255144,3681386,3660509,8804473,4888820,1462578,0.23472831458385013,0.8255518680029372,0.24697861651686911,0.06516001290206257,0.5552654883489335,0.2991678973658265
seed2,height,1,2,88130,265191,947275,8972127,10272723,1035405,353321,0.06776124176915814,0.24943323493367223,0.08511645201636074,0.02870865764283529,0.1007916790903444,0.341239418391837
seed2,height,2,3,96086,311826,1182543,14309916,15900371,1278629,407912,0.060414158212586964,0.2355557080939026,0.07514767770791997,0.021326186715645783,0.08041504188801632,0.3190229534915914
seed2,height,3,inf,557960,914351,1783839,11254986,14511136,2341799,1472311,0.17135574221089322,0.37896884557678373,0.23826126836675565,0.07513564625583136,0.16137943990050124,0.6287093811210953
seed2,range,0,10,591943,169715,741404,5632623,7135685,1333347,761658,0.3938247390992521,0.7771768956670841,0.4439526994848303,0.029249416355958582,0.18685620231274222,0.5712376448141406
seed2,range,10,20,1307789,637076,2065490,12369074,16379429,3373279,1944865,0.32610305072742934,0.6724317626159142,0.387690730591807,0.04898267358134421,0.20594606808332575,0.5765502942389289
seed2,range,20,30,1248916,626308,2198597,10730763,14804584,3447513,1875224,0.3065711527335148,0.6660089674620205,0.36226578405940746,0.05514696526947837,0.2328679414430017,0.5439352948052698
seed2,range,30,40,908244,414722,2023738,7997125,11343829,2931982,1322966,0.2713846220042167,0.6865210443805813,0.30977134238886866,0.04930213305115987,0.25846493278415955,0.45121900475514515
seed2,range,40,inf,209577,91707,661892,1468911,2432087,871469,301284,0.21758951635007517,0.6956127773130999,0.24048703969963361,0.05876325917040557,0.3583214745196204,0.34571969857791846
seed2,boundary,0,0.4,1018897,516082,120167,340538,1995684,1139064,1534979,0.6155934280117887,0.6637856283375864,0.8945037328894602,0.6024631691998786,0.570763708082041,1.3475792404992168
seed2,boundary,0.4,1,1704287,279512,439622,1029215,3452636,2143909,1983799,0.7032566772343724,0.8591026611062915,0.7949437219583481,0.21357548212881677,0.6209484579318526,0.9253186585811245
seed2,boundary,1,2,1325832,480117,4756214,10612653,17174816,6082046,1805949,0.20204191819069414,0.7341469775724564,0.21799111680510144,0.04328197555705202,0.3541258316828547,0.29693116428254573
seed2,boundary,2,inf,217453,663817,2375118,26216090,29472478,2592571,881270,0.06677736191141842,0.2467495773145574,0.08387542713391456,0.02469565835923465,0.08796583035875029,0.3399212596299195
seed2,gt_distance,0,0.4,4266469,0,7691121,0,11957590,11957590,4266469,0.3568000742624559,1.0,0.3568000742624559,0.0,1.0,0.3568000742624559
seed2,gt_distance,0.4,1,0,773549,0,7992303,8765852,0,773549,0.0,0.0,0.0,0.08824572899474005,0.0,0.0
seed2,gt_distance,1,2,0,539117,0,13864125,14403242,0,539117,0.0,0.0,0.0,0.03743025354986051,0.0,0.0
seed2,gt_distance,2,5,0,560328,0,16060160,16620488,0,560328,0.0,0.0,0.0,0.033713089531426516,0.0,0.0
seed2,gt_distance,5,inf,0,66534,0,281908,348442,0,66534,0.0,0.0,0.0,0.19094713036889926,0.0,0.0
