clip_id,method,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
08_002125_002145_s5,seed0,25285,258364,39061,878682,1201392,64346,283649,0.07835208081559294,0.08914186194909907,0.3929537189568893,0.22722387660657528,0.05355953760304713,4.408183880893917
08_002125_002145_s5,seed1,28003,264914,36343,872132,1201392,64346,292917,0.08504829010508413,0.09560046019862282,0.43519410685978926,0.2329844175169694,0.05355953760304713,4.55221769806981
08_002125_002145_s5,seed2,28039,228067,36307,908979,1201392,64346,256106,0.09588834969717488,0.10948201135467346,0.4357535821962515,0.20057851661234463,0.05355953760304713,3.98013862555559
08_002150_002170_s5,mapper,8019,30806,75560,766526,880911,83579,38825,0.07010534598067929,0.2065421764327109,0.09594515368693093,0.038636352234702735,0.09487791615725084,0.4645305638976298
08_002150_002170_s5,dilation,26448,132820,57131,664512,880911,83579,159268,0.12221867938391583,0.16605972323379461,0.316443125665538,0.1665805461213146,0.09487791615725084,1.9055982962227354
08_002150_002170_s5,seed0,15635,160877,67944,636455,880911,83579,176512,0.06395834015119285,0.0885775471356055,0.1870685219971524,0.20176915011563565,0.09487791615725084,2.11191806554278
08_002150_002170_s5,seed1,18457,168347,65122,628985,880911,83579,186804,0.07326357739971262,0.09880409413074666,0.22083298436210053,0.2111378948794229,0.09487791615725084,2.2350590459325907
08_002150_002170_s5,seed2,16664,124320,66915,673012,880911,83579,140984,0.08015430569651609,0.11819780968053112,0.1993802270905371,0.1559199931772461,0.09487791615725084,1.6868352098015051
08_002175_002195_s5,mapper,11491,15131,65161,1195458,1287241,76652,26622,0.12519747665689723,0.43163548944482005,0.14991128737671555,0.012498874514802298,0.05954751285889744,0.34730992015863904
08_002175_002195_s5,dilation,24637,69698,52015,1140891,1287241,76652,94335,0.16834301332422275,0.26116499708485713,0.3214136617439858,0.05757362738303421,0.05954751285889744,1.2306919584616187
08_002175_002195_s5,seed0,27909,163684,48743,1046905,1287241,76652,191593,0.1161249251048532,0.14566816115411316,0.3641000887126233,0.13521021585360515,0.05954751285889744,2.4995172989615404
08_002175_002195_s5,seed1,28664,184397,47988,1026192,1287241,76652,213061,0.10980314040659034,0.1345342413674957,0.3739497990920002,0.15232006899121006,0.05954751285889744,2.779588269060168
08_002175_002195_s5,seed2,28700,124311,47952,1086278,1287241,76652,153011,0.1428123584938521,0.18756821404997026,0.37441945415644734,0.10268637828362888,0.05954751285889744,1.996177529614361
