method,dimension,lo,hi,tp,fp,fn,tn,valid,gt_occupied,pred_occupied,iou,precision,recall,fpr,prevalence,volume_ratio
seed2,height,0,1,1274,64,11074,9620,22032,12348,1338,0.10264260393167902,0.9521674140508222,0.10317460317460317,0.00660883932259397,0.5604575163398693,0.10835762876579202
seed2,height,1,2,29,249,1946,24766,26990,1975,278,0.013039568345323741,0.10431654676258993,0.014683544303797468,0.00995402758344993,0.0731752500926269,0.14075949367088608
seed2,height,2,3,10,146,2606,37740,40502,2616,156,0.003620564808110065,0.0641025641025641,0.00382262996941896,0.0038536662619437258,0.06458940299244481,0.05963302752293578
seed2,height,3,inf,964,1900,3414,28990,35268,4378,2864,0.15355208665179992,0.3365921787709497,0.22019186843307445,0.06150857882809971,0.12413519337643189,0.654179990863408
seed2,range,0,10,338,183,3497,14710,18728,3835,521,0.08412145345943256,0.6487523992322457,0.08813559322033898,0.01228765191700799,0.2047736010252029,0.13585397653194264
seed2,range,10,20,1526,1110,5483,27789,35908,7009,2636,0.1879541815494519,0.578907435508346,0.2177200741903267,0.038409633551333956,0.19519327169432996,0.37608788700242546
seed2,range,20,30,2438,704,3426,28791,35359,5864,3142,0.37119366626065775,0.7759388924252069,0.41575716234652116,0.023868452280047466,0.16584179416838712,0.5358117326057299
seed2,range,30,40,2751,169,5760,24690,33370,8511,2920,0.31693548387096776,0.9421232876712329,0.32322876277758195,0.006798342652560441,0.2550494456098292,0.343085418869698
seed2,range,40,inf,630,325,1117,5136,7208,1747,955,0.30405405405405406,0.6596858638743456,0.3606182026330853,0.059512909723493865,0.24236958934517203,0.5466514024041214
seed2,boundary,0,0.4,2092,1264,136,840,4332,2228,3356,0.5990836197021764,0.6233611442193087,0.9389587073608617,0.6007604562737643,0.5143120960295475,1.5062836624775584
seed2,boundary,0.4,1,4266,619,717,2833,8435,4983,4885,0.7615137450910389,0.8732855680655066,0.856110776640578,0.17931633835457705,0.5907528156490812,0.9803331326510134
seed2,boundary,1,2,1283,188,13261,28106,42838,14544,1471,0.0870893293510725,0.8721957851801495,0.08821507150715072,0.006644518272425249,0.33951164853634624,0.10114136413641364
seed2,boundary,2,inf,42,420,5169,69337,74968,5211,462,0.007458710708577517,0.09090909090909091,0.008059873344847437,0.006020901128202188,0.06950965745384698,0.08865860679332183
seed2,gt_distance,0,0.4,7683,0,19283,0,26966,26966,7683,0.2849143365719795,1.0,0.2849143365719795,0.0,1.0,0.2849143365719795
seed2,gt_distance,0.4,1,0,351,0,20572,20923,0,351,0.0,0.0,0.0,0.0167757969698418,0.0,0.0
seed2,gt_distance,1,2,0,465,0,34326,34791,0,465,0.0,0.0,0.0,0.013365525566956972,0.0,0.0
seed2,gt_distance,2,5,0,1117,0,45199,46316,0,1117,0.0,0.0,0.0,0.024116935832109856,0.0,0.0
seed2,gt_distance,5,inf,0,558,0,1019,1577,0,558,0.0,0.0,0.0,0.3538363982244769,0.0,0.0
