case_id,layer,group,mean_A,var_A,mean_B,var_B,mean_delta,std_A,std_B,std_ratio_B_over_A,mean_shift_in_A_std,in_dtype,out_dtype,shape
00889,enc3.4#0,2,-2.2128512859344482,59.078277587890625,-3.496089458465576,90.98125457763672,-1.283238172531128,7.6862394958712175,9.538409436464589,1.240972186930721,0.16695266563323186,torch.bfloat16,torch.float32,1x96x64x64x8
00889,enc3.4#0,3,-5.497775077819824,61.915069580078125,-6.650820732116699,76.8568344116211,-1.153045654296875,7.868612938763612,8.766802975521983,1.1141484584066355,0.14653734568853402,torch.bfloat16,torch.float32,1x96x64x64x8
00889,enc3.4#0,4,-6.304624080657959,72.72315979003906,-7.239322662353516,104.84830474853516,-0.9346985816955566,8.527787508494749,10.239546120240641,1.2007271651692502,0.10960622327473325,torch.bfloat16,torch.float32,1x96x64x64x8
00889,enc3.4#0,5,-6.246823310852051,73.81011962890625,-7.1780104637146,98.96172332763672,-0.9311871528625488,8.591281605727183,9.947950709952112,1.1579123076725288,0.10838745551557687,torch.bfloat16,torch.float32,1x96x64x64x8
00889,enc3.4#0,6,-5.828971862792969,83.69219207763672,-6.637884140014648,124.34823608398438,-0.8089122772216797,9.148343679466613,11.151154024762835,1.2189260062224723,0.0884217193367229,torch.bfloat16,torch.float32,1x96x64x64x8
00889,enc3.4#0,7,-5.130580425262451,42.4925651550293,-6.718078136444092,50.608516693115234,-1.5874977111816406,6.518632153682956,7.113966312340482,1.0913280799747487,0.2435323352744673,torch.bfloat16,torch.float32,1x96x64x64x8
00889,dec2.1#0,0,-10.64716625213623,55.56178665161133,-12.01977825164795,54.482242584228516,-1.3726119995117188,7.453977907910066,7.381208748181325,0.9902375401929324,0.18414489772704054,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.1#0,1,-7.832383632659912,83.70293426513672,-6.787896156311035,68.0071792602539,1.044487476348877,9.148930771687844,8.246646546339543,0.9013781776401131,0.11416497757105493,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.1#0,2,-7.933011531829834,71.88213348388672,-6.625186920166016,43.271488189697266,1.3078246116638184,8.478333178395781,6.578106732920747,0.7758726384665879,0.15425492064836227,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.1#0,3,-3.0831527709960938,103.41983032226562,-2.320279359817505,125.28558349609375,0.7628734111785889,10.16955408669749,11.193104283267164,1.1006484834874473,0.0750154239482813,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.1#0,4,-7.121987819671631,57.6529541015625,-5.920685768127441,33.54768753051758,1.2013020515441895,7.5929542407130635,5.792036561566024,0.7628172616278124,0.1582127342613056,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.1#0,5,-9.439384460449219,70.70589447021484,-10.021394729614258,65.87399291992188,-0.5820102691650391,8.408679710288343,8.11627949986457,0.9652263826786017,0.06921541659541713,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.1#0,6,-2.390092611312866,87.58380889892578,0.5720548033714294,72.04623413085938,2.9621474146842957,9.358622168830506,8.488005309309095,0.9069716840988563,0.31651533326667664,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.1#0,7,-4.5197038650512695,79.3863296508789,-2.959453582763672,71.45858001708984,1.5602502822875977,8.909900653255283,8.453317692899626,0.9487555497951773,0.17511421765601295,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.4#0,0,-6.729517936706543,65.4725570678711,-9.025615692138672,44.28433609008789,-2.296097755432129,8.091511420486972,6.654647705933643,0.8224233224320341,0.28376623798844525,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.4#0,1,-4.233297824859619,64.9545669555664,-4.975151062011719,72.633056640625,-0.7418532371520996,8.059439617961438,8.522502956328323,1.0574560217977056,0.09204774429958998,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.4#0,2,-5.81309700012207,90.79358673095703,-7.044464111328125,99.10367584228516,-1.2313671112060547,9.528566877078475,9.955082914887507,1.044761824449702,0.129228993939076,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.4#0,3,-7.417741775512695,98.91695404052734,-8.974220275878906,89.18599700927734,-1.556478500366211,9.945700279041558,9.443833808855244,0.9495393530766364,0.1564976277885789,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.4#0,4,-1.9024617671966553,35.02190017700195,-1.3423784971237183,31.952363967895508,0.560083270072937,5.917930396430998,5.652642211204908,0.9551721349433104,0.09464174678544944,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.4#0,5,-3.182796001434326,78.2797622680664,-4.522544860839844,74.78952026367188,-1.3397488594055176,8.847585109399423,8.6480934467472,0.9774524166554455,0.15142537119899602,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.4#0,6,-5.247021198272705,45.16684341430664,-6.525786399841309,32.55758285522461,-1.2787652015686035,6.720628200868327,5.70592524094249,0.8490166499919257,0.19027465340269573,torch.bfloat16,torch.float32,1x48x128x128x16
00889,dec2.4#0,7,-1.653225302696228,39.277305603027344,-0.675301730632782,27.99134063720703,0.977923572063446,6.267160888554509,5.290684325983458,0.8441915597931505,0.15603932776792004,torch.bfloat16,torch.float32,1x48x128x128x16
