clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_moge_out_deg
2013_05_28_drive_0006_sync_000110,B,1,68870,19.13445513896348,0.05057629210612147,0.9916850523993381,0.9537093215664644,103.74479675292969
2013_05_28_drive_0006_sync_000110,B,2,68479,16.193259006076385,0.08531842936300471,0.9958632101489244,0.9469249862107005,103.74479675292969
2013_05_28_drive_0006_sync_000110,B,3,68286,16.72613418311404,0.1138023250608271,0.9999172642029784,0.9416436845008274,103.74479675292969
2013_05_28_drive_0006_sync_000110,B,4,64590,14.38118072016174,0.07283890210945865,0.996207942636514,0.8906508549365693,103.74479675292969
2013_05_28_drive_0006_sync_000115,B,0,69130,18.292632170113247,0.05497522468616012,0.9916850523993381,0.9568257032542746,103.74479675292969
2013_05_28_drive_0006_sync_000115,B,1,68677,15.930421128500823,0.0812203708124466,0.9958632101489244,0.9492691671263099,103.74479675292969
2013_05_28_drive_0006_sync_000115,B,2,69031,16.39064806142143,0.15283729120652279,0.9999172642029784,0.9519029233314947,103.74479675292969
2013_05_28_drive_0006_sync_000115,B,3,66990,13.919092643030071,0.08002875729461079,0.996207942636514,0.9237589630446773,103.74479675292969
2013_05_28_drive_0006_sync_000115,B,4,65468,16.27117884678478,0.053437350097142566,0.9959321566464424,0.902757859900717,103.74479675292969
2013_05_28_drive_0006_sync_000120,B,0,68698,15.230719524881117,0.08195249920744563,0.9958632101489244,0.9489933811362383,103.74479675292969
2013_05_28_drive_0006_sync_000120,B,1,69582,16.229693033512593,0.11754965032387354,0.9999172642029784,0.9595008273579703,103.74479675292969
2013_05_28_drive_0006_sync_000120,B,2,67860,13.967405871594346,0.07419546034397273,0.996207942636514,0.9357556536127964,103.74479675292969
2013_05_28_drive_0006_sync_000120,B,3,66086,16.235544585775173,0.05932615967456645,0.9959321566464424,0.9112796469939327,103.74479675292969
2013_05_28_drive_0006_sync_000120,B,4,67179,15.614951902785592,0.02570288567377732,0.9972835079977938,0.9263513513513514,103.74479675292969
2013_05_28_drive_0006_sync_000125,B,0,69140,15.5378773724277,0.05160483188520715,0.9999172642029784,0.9533921676778819,103.74479675292969
2013_05_28_drive_0006_sync_000125,B,1,67821,13.42932570341328,0.0668793440428308,0.996207942636514,0.9352178709321567,103.74479675292969
2013_05_28_drive_0006_sync_000125,B,2,65934,15.688514746761975,0.0459468904295548,0.9959321566464424,0.9091836734693878,103.74479675292969
2013_05_28_drive_0006_sync_000125,B,3,66817,14.857585785666958,0.0294526519919156,0.9972835079977938,0.9213596249310535,103.74479675292969
2013_05_28_drive_0006_sync_000125,B,4,65527,15.453077855603446,0.06834615128806476,0.9972421400992829,0.9035714285714286,103.74479675292969
2013_05_28_drive_0006_sync_000130,B,0,67888,12.379095090983158,0.051060287392623804,0.996207942636514,0.9361417539988969,103.74479675292969
2013_05_28_drive_0006_sync_000130,B,1,65311,14.394371542104277,0.053201903286136165,0.9959321566464424,0.9005929398786542,103.74479675292969
2013_05_28_drive_0006_sync_000130,B,2,65935,13.777043464983713,0.032389376252634605,0.9972835079977938,0.9091974627688914,103.74479675292969
2013_05_28_drive_0006_sync_000130,B,3,64952,13.95686197916667,0.04932839251907395,0.9972421400992829,0.895642581356867,103.74479675292969
2013_05_28_drive_0006_sync_000130,B,4,64408,14.519540310222006,0.07194302677874909,0.9969111969111969,0.8881412024269167,103.74479675292969
