clip_id,block,anchor,s_oracle,s_oracle_anchor_only,s_oracle_voxel_centre,ok,n_valid_lidar_px,s_C0,s_C3,s_A,s_B,absrel_C0,absrel_C3,absrel_A,absrel_B,absrel_OR
2013_05_28_drive_0006_sync_007225,69,7225,22.661349561602393,23.21335835806929,23.947430236618832,1,100243,27.3665,29.41152795091941,20.232448229010494,19.49313201315154,0.21007605583579306,0.2921822036287976,0.1284733976963217,0.1564777416330044,0.07597941769060297
2013_05_28_drive_0006_sync_007230,69,7230,22.875256439771196,23.301334196439832,23.669811675020952,1,99489,27.3665,29.5405597627839,20.317842858519665,19.674431018890676,0.20256665724212397,0.29127417384100585,0.12877616170117057,0.15296066922949,0.07629721966535087
2013_05_28_drive_0006_sync_007235,69,7235,22.3361426298186,22.604944809697578,23.181340738462044,1,96913,27.3665,28.73390410528068,20.225055309734508,19.62231432249866,0.22323382336438485,0.27710293650259915,0.12438328596083195,0.14713478399238564,0.08316832212303767
2013_05_28_drive_0006_sync_007240,69,7240,22.684509701923073,22.188600440404567,22.701074111917354,1,94353,27.3665,28.85768985588808,21.01871229977697,20.339331749895308,0.20658747120626675,0.26179972003543317,0.11440384633703968,0.13650188870269156,0.09312039739993233
2013_05_28_drive_0006_sync_007245,69,7245,23.839164642493614,23.84011504801734,24.170811143388782,1,93100,27.3665,30.119641037642133,22.367600427501408,21.649036740133674,0.16168913865072193,0.24899385284303424,0.11328096836032682,0.13423117615069477,0.09575558488739991
2013_05_28_drive_0006_sync_007250,69,7250,23.92971657125398,22.589659562461947,22.74934188150086,1,93738,27.3665,30.028872429376925,22.728523831407568,21.81504018426931,0.17712969279368754,0.26666907167526643,0.10962275085081112,0.12655859149078882,0.10554623688577833
2013_05_28_drive_0006_sync_007255,69,7255,23.414578561050057,23.59656655676566,23.545580507739203,1,95002,27.3665,29.541768105320998,22.18907485773534,21.71920395762472,0.1757441169397664,0.25298992534162384,0.10510652681210758,0.11793505599269381,0.0901072653618687
2013_05_28_drive_0006_sync_007260,69,7260,23.006553373110407,23.121383198918952,23.668590342077152,1,98376,27.3665,29.270238287581822,21.32056691508016,21.088935584873543,0.19282771959906816,0.2678380870307741,0.11132664805693494,0.11859163273884675,0.07722174414658406
2013_05_28_drive_0006_sync_007265,69,7265,23.5888530884993,23.44956215561998,23.863734649964716,1,100042,27.3665,30.027134077903597,21.48802320075757,21.457954245780584,0.17021059021926346,0.27630885813214706,0.11273739268861799,0.11372790578239357,0.06860700074058798
2013_05_28_drive_0006_sync_007270,69,7270,22.808386451000978,23.327880591326085,23.894929874160653,1,101062,27.3665,28.99113001647285,20.974771439264327,20.789346037042595,0.19508371658336873,0.26102660338198247,0.10672295283515928,0.11326712551476398,0.06866902195933576
