block,K360-A-D,K360-A-R,K360-B-D,K360-B-R,K360-C0-D,K360-C0-R,K360-C3-D,K360-C3-R,K360-OR-D,K360-OR-R
42,0.09886535874817357,0.024970013201869496,0.10058222053267954,0.025431881213306206,0.08833595076245972,0.01971497793757758,0.08936347415280652,0.020303730602204927,0.10031244025808714,0.025953050483594742
43,0.12621325675202338,0.03585627146274403,0.12692721028609438,0.03501310186830092,0.10859737504847378,0.02248308800698483,0.09778694009823596,0.01825507086833713,0.12845537287947079,0.03525729910672322
44,0.11392677653807903,0.029317354193413397,0.11256715429370759,0.02593003242957545,0.08747788626862803,0.015837917340119117,0.07845360444672701,0.013783606645755656,0.10635318139245058,0.023890593468317872
45,0.12311180752047013,0.03571854891645795,0.11974581349807559,0.034674641867209685,0.10336542206260062,0.018780349480530055,0.10129096941641394,0.01873600362454249,0.12021409167373046,0.03244907555902098
46,0.10093408413329825,0.024482573746648355,0.09648660622590152,0.023723953694723347,0.11145071058665748,0.02870002747398509,0.11458021646973664,0.03023528577398164,0.10171851487447818,0.024569813759212192
47,0.106754742418572,0.026502010635067096,0.10090768343375855,0.024673509844066875,0.11777691661583758,0.02787464227171731,0.12279564971949027,0.027636812295373764,0.11038448617730987,0.027083089585388916
48,0.12335232923088904,0.02889696038279358,0.12358736226515028,0.02753539249427353,0.0830888045421749,0.015488043330047241,0.09015256448883249,0.016266655221040927,0.10720073851822873,0.02125575752987215
49,0.1505880791220779,0.04063149412962404,0.14951381630319152,0.04041749446255853,0.12424296610249501,0.02598921758340384,0.1234407219129644,0.02550467453997333,0.1564206719329057,0.04058662406422497
50,0.15526617087193528,0.04260997179135674,0.15238343255435224,0.0431716813727399,0.14168928598457317,0.030188165433418207,0.10366946124230743,0.01765621331378726,0.15904072832669075,0.040294186509737095
51,0.1366205715545739,0.036833604807212365,0.13261686064969552,0.035903662434508946,0.13904983726957937,0.03314980416630461,0.106917533910976,0.018575545349701003,0.13710986511691137,0.035163302025018814
52,0.14185016336279693,0.041192204955475306,0.14507860479423193,0.03936106309361683,0.11670262219858889,0.025373792352688253,0.09153022384866574,0.017438313533271025,0.1438746820866894,0.03660759311027527
53,0.16326697555797517,0.04831829259990626,0.16946662038819946,0.04965272547970707,0.08692667687363338,0.01772444587470883,0.10843958330035526,0.024255945756149432,0.16881755456891806,0.05213693978302667
54,0.11336509886534214,0.028839364335841472,0.09959691929863645,0.022894218558744843,0.09726488138733791,0.02227957469880831,0.07291232364522307,0.015980363626760825,0.11557820737612896,0.029848853275977687
