clip_id,block,variant,s_c0,s_c3,a_clip,n_support_px,ok
2013_05_28_drive_0006_sync_000310,2,C0C3,27.3665,27.39446905035565,0.0010214959038421512,278831,1
2013_05_28_drive_0006_sync_000315,2,C0C3,27.3665,27.52599471122253,0.0058111827820539474,288606,1
2013_05_28_drive_0006_sync_000320,2,C0C3,27.3665,27.323307874301257,-0.0015795314102433622,279746,1
2013_05_28_drive_0006_sync_000325,2,C0C3,27.3665,27.70947526729682,0.012454784475266933,272511,1
2013_05_28_drive_0006_sync_000330,2,C0C3,27.3665,27.559355181316683,0.0070224113296717405,263096,1
2013_05_28_drive_0006_sync_000335,2,C0C3,27.3665,27.68280750607939,0.011491915211081505,265644,1
2013_05_28_drive_0006_sync_000340,3,C0C3,27.3665,27.64707142858121,0.010200168937444687,275277,1
2013_05_28_drive_0006_sync_000345,3,C0C3,27.3665,27.3705803725477,0.00014908988669048995,263008,1
2013_05_28_drive_0006_sync_000350,3,C0C3,27.3665,27.470060016536397,0.003777047269977629,253866,1
2013_05_28_drive_0006_sync_000355,3,C0C3,27.3665,27.561959936756033,0.007116921246051788,269954,1
2013_05_28_drive_0006_sync_000360,3,C0C3,27.3665,27.527612985567895,0.005869971821084619,264554,1
2013_05_28_drive_0006_sync_000365,3,C0C3,27.3665,26.370498453742798,-0.037073735147714615,281728,1
2013_05_28_drive_0006_sync_000370,3,C0C3,27.3665,24.62818106923317,-0.10542827844619751,287203,1
2013_05_28_drive_0006_sync_000375,3,C0C3,27.3665,23.190058157621028,-0.16559597849845886,286259,1
2013_05_28_drive_0006_sync_000380,3,C0C3,27.3665,22.36895754718366,-0.20164546370506287,282013,1
2013_05_28_drive_0006_sync_000385,3,C0C3,27.3665,21.693534834639173,-0.2323053553700447,283780,1
2013_05_28_drive_0006_sync_000390,3,C0C3,27.3665,21.82025749268422,-0.2264808565378189,274283,1
2013_05_28_drive_0006_sync_000395,3,C0C3,27.3665,23.40203103123554,-0.1564968228340149,269608,1
2013_05_28_drive_0006_sync_000400,3,C0C3,27.3665,25.568500410105706,-0.06795849651098251,259226,1
2013_05_28_drive_0006_sync_000405,3,C0C3,27.3665,26.450749716642918,-0.03403513506054878,248433,1
2013_05_28_drive_0006_sync_000410,3,C0C3,27.3665,25.49980220569842,-0.07064894214272499,247142,1
2013_05_28_drive_0006_sync_000415,3,C0C3,27.3665,23.486788928803826,-0.15288154780864716,250445,1
2013_05_28_drive_0006_sync_000420,3,C0C3,27.3665,18.968987369651472,-0.3665142357349396,255045,1
2013_05_28_drive_0006_sync_000425,3,C0C3,27.3665,17.215847291381642,-0.4634893238544464,258061,1
2013_05_28_drive_0006_sync_000485,3,C0C3,27.3665,24.15979848251323,-0.12462960556149483,290732,1
2013_05_28_drive_0006_sync_000490,3,C0C3,27.3665,25.69925076608876,-0.06285779923200607,292535,1
2013_05_28_drive_0006_sync_000495,4,C0C3,27.3665,26.915459102103554,-0.016618828289210796,297872,1
2013_05_28_drive_0006_sync_000500,4,C0C3,27.3665,27.63114330523206,0.009623879566788673,291939,1
2013_05_28_drive_0006_sync_000505,4,C0C3,27.3665,27.983628130988816,0.0222999919205904,282892,1
2013_05_28_drive_0006_sync_000510,4,C0C3,27.3665,30.133091850506094,0.09630432724952698,283005,1
2013_05_28_drive_0006_sync_000515,4,C0C3,27.3665,31.925857801636027,0.15409663319587708,283663,1
2013_05_28_drive_0006_sync_000520,4,C0C3,27.3665,33.602751164613174,0.20528830587863922,276552,1
2013_05_28_drive_0006_sync_000525,4,C0C3,27.3665,35.93028745656731,0.27226096391677856,265617,1
2013_05_28_drive_0006_sync_000530,4,C0C3,27.3665,38.18741214268159,0.3331862986087799,251770,1
2013_05_28_drive_0006_sync_000535,4,C0C3,27.3665,39.035228208181096,0.3551448881626129,243793,1
2013_05_28_drive_0006_sync_000540,4,C0C3,27.3665,40.738992402559795,0.39786604046821594,245879,1
2013_05_28_drive_0006_sync_000545,4,C0C3,27.3665,39.392424105581554,0.3642538785934448,254544,1
2013_05_28_drive_0006_sync_000550,4,C0C3,27.3665,35.34771582971114,0.2559141367673874,262500,1
2013_05_28_drive_0006_sync_000555,4,C0C3,27.3665,33.217221768175826,0.1937488317489624,271494,1
