clip_id,variant,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_moge_out_deg
2013_05_28_drive_0006_sync_000515,A,4,54240,21.273554893906866,0.08527440644444262,0.9177330391616106,0.7536265857694429,104.71317291259766
2013_05_28_drive_0006_sync_000520,A,0,59491,20.945722436036426,0.0539850599247087,0.9368312189740761,0.8345835631549917,103.52373504638672
2013_05_28_drive_0006_sync_000520,A,1,58679,19.682684925939302,0.06275861630379076,0.932446221731936,0.8153888582460012,104.00255584716797
2013_05_28_drive_0006_sync_000520,A,2,54900,21.89783542246983,0.02389826169832343,0.90711527854385,0.7671125206839493,101.65704345703125
2013_05_28_drive_0006_sync_000520,A,3,54845,21.143607781001837,0.06353682176072928,0.9177330391616106,0.7627688913403199,104.71317291259766
2013_05_28_drive_0006_sync_000520,A,4,45483,21.818716452504887,0.04793931167574561,0.8809431880860452,0.6336045228902372,106.11813354492188
2013_05_28_drive_0006_sync_000525,A,0,59598,21.38917722902098,0.04961659438377142,0.932446221731936,0.8317567567567568,104.00255584716797
2013_05_28_drive_0006_sync_000525,A,1,54867,23.777707176620645,0.02412064132394054,0.90711527854385,0.7641753998896856,101.65704345703125
2013_05_28_drive_0006_sync_000525,A,2,54778,23.01155876706485,0.05933902889762632,0.9177330391616106,0.7607004964147821,104.71317291259766
2013_05_28_drive_0006_sync_000525,A,3,46735,23.84874691529009,0.044633894266166596,0.8809431880860452,0.6574048538334253,106.11813354492188
2013_05_28_drive_0006_sync_000525,A,4,46420,25.32665062881097,0.05712593492086837,0.8995311638168781,0.6486348593491451,103.29017639160156
2013_05_28_drive_0006_sync_000530,A,0,55034,25.236403186274508,0.028953547164364934,0.90711527854385,0.7680226144511859,101.65704345703125
2013_05_28_drive_0006_sync_000530,A,1,55214,24.85363911545271,0.04750548767818952,0.9177330391616106,0.7672779922779923,104.71317291259766
2013_05_28_drive_0006_sync_000530,A,2,48032,25.421403177668537,0.04935292758541432,0.8809431880860452,0.6780198565912852,106.11813354492188
2013_05_28_drive_0006_sync_000530,A,3,46809,26.923113567073166,0.03923021162230178,0.8995311638168781,0.6531853281853282,103.29017639160156
2013_05_28_drive_0006_sync_000530,A,4,43888,27.378701014001155,0.023856090301714206,0.8947738554881413,0.6052261445118587,101.86367797851562
2013_05_28_drive_0006_sync_000535,A,0,55413,24.924397597641153,0.024253267694278158,0.9177330391616106,0.7702978488692774,104.71317291259766
2013_05_28_drive_0006_sync_000535,A,1,48589,25.014755744644088,0.02809106682534157,0.8809431880860452,0.6840871483728627,106.11813354492188
2013_05_28_drive_0006_sync_000535,A,2,47461,27.046316128277155,0.022911423628308558,0.8995311638168781,0.6634031991174848,103.29017639160156
2013_05_28_drive_0006_sync_000535,A,3,44155,27.90362515271838,0.03402678609878951,0.8947738554881413,0.6089906232763376,101.86367797851562
2013_05_28_drive_0006_sync_000535,A,4,46043,28.668128129636504,0.04985329101412361,0.9019994484280198,0.6349558742415885,99.3152847290039
2013_05_28_drive_0006_sync_000540,A,0,49219,24.729043852261782,0.0175359716573098,0.8809431880860452,0.694511858797573,106.11813354492188
