clip_id,block,variant,s_moge,log_s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,per_frame_scale_ratio_max_min,fov_supplied_deg,fov_calibrated_deg,fov_moge_out_deg,fov_moge_out_std
2013_05_28_drive_0006_sync_004120,39,B,16.57023423269581,2.80760796728882,1,254170,0.07797897906731732,0.05036983104663916,1.1467537280308264,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004125,39,B,16.85940743826486,2.824908805945686,1,242681,0.06618688040639142,0.03777107074692108,1.0970533321610652,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004130,39,B,16.82938629124896,2.823126542371413,1,239528,0.06696487648054017,0.04032642998085607,1.1200339327202535,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004135,39,B,15.884596946022727,2.765349894155804,1,225222,0.07542952278073911,0.06933497241791374,1.1983106472500753,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004140,39,B,15.778766573549028,2.758665148455865,1,219035,0.08069044926643976,0.06938752697995408,1.1831727469708644,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004200,39,B,13.501381960477131,2.602792047647945,1,295735,0.04997853139739483,0.04034432478419624,1.1205853457305035,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004205,39,B,14.312265037593987,2.661116864592385,1,304874,0.08321720901452268,0.0834674479562724,1.2578946300969631,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004210,39,B,14.95292586301485,2.70490699058867,1,299156,0.06552902825010465,0.05857052254113354,1.1913799817917878,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004215,39,B,15.913337244027304,2.7671575779920605,1,292716,0.056261501259248226,0.038651396637944924,1.1072969282680447,103.74480804467827,103.74480804467827,103.74479675292969,0.0
2013_05_28_drive_0006_sync_004220,39,B,16.95859090132179,2.83077454326364,1,297721,0.06200949868043448,0.03847537824450308,1.1035193527993012,103.74480804467827,103.74480804467827,103.74479675292969,0.0
