clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
08_002725_002745_s5,08,block005,9361,21091,109566,9361,21091,109566,30104,21091,88823,43777,21091,75150,53213,21091,65714,66411,21091,52516,87757,21091,31170,9361,21091,109566,30104,106052,88823,43777,211255,75150,53213,322081,65714,66411,507540,52516,87757,874396,31170,38453,156984,80474,38453,156984,80474,48048,156984,70879,56037,156984,62890,62867,156984,56060,73702,156984,45225,91351,156984,27576,38453,156984,80474,48048,257263,70879,56037,358883,62890,62867,455264,56060,73702,625302,45225,91351,947602,27576
08_002750_002770_s5,08,block005,6703,25588,120060,6703,25588,120060,21003,25588,105760,33231,25588,93532,43798,25588,82965,59264,25588,67499,79295,25588,47468,6703,25588,120060,21003,98296,105760,33231,175466,93532,43798,251800,82965,59264,386326,67499,79295,645966,47468,27894,136493,98869,27894,136493,98869,37913,136493,88850,47401,136493,79362,55485,136493,71278,67319,136493,59444,81811,136493,44952,27894,136493,98869,37913,206423,88850,47401,277076,79362,55485,346752,71278,67319,468825,59444,81811,701912,44952
08_002775_002795_s5,08,block005,6328,18736,115257,6328,18736,115257,22138,18736,99447,34122,18736,87463,43899,18736,77686,56925,18736,64660,78830,18736,42755,6328,18736,115257,22138,81279,99447,34122,154999,87463,43899,231149,77686,56925,369362,64660,78830,679254,42755,28541,115289,93044,28541,115289,93044,38584,115289,83001,46836,115289,74749,53534,115289,68051,64846,115289,56739,83024,115289,38561,28541,115289,93044,38584,185193,83001,46836,256071,74749,53534,327538,68051,64846,462958,56739,83024,751325,38561
08_002800_002820_s5,08,block005,11483,17810,109838,11483,17810,109838,36111,17810,85210,51860,17810,69461,62110,17810,59211,73976,17810,47345,96057,17810,25264,11483,17810,109838,36111,91854,85210,51860,194614,69461,62110,308872,59211,73976,518950,47345,96057,867776,25264,44967,141706,76354,44967,141706,76354,56715,141706,64606,64875,141706,56446,71034,141706,50287,80781,141706,40540,99442,141706,21879,44967,141706,76354,56715,242348,64606,64875,349624,56446,71034,459014,50287,80781,648807,40540,99442,932910,21879
08_002825_002845_s5,08,block005,11971,16105,101781,11971,16105,101781,36675,16105,77077,49162,16105,64590,58211,16105,55541,69878,16105,43874,87707,16105,26045,11971,16105,101781,36675,80009,77077,49162,167052,64590,58211,260346,55541,69878,432893,43874,87707,796689,26045,43941,122902,69811,43941,122902,69811,53435,122902,60317,60863,122902,52889,67030,122902,46722,75639,122902,38113,91076,122902,22676,43941,122902,69811,53435,205382,60317,60863,293729,52889,67030,383951,46722,75639,547826,38113,91076,883283,22676
08_002850_002870_s5,08,block005,11691,12909,102027,11691,12909,102027,35521,12909,78197,48612,12909,65106,57931,12909,55787,69864,12909,43854,83827,12909,29891,11691,12909,102027,35521,68211,78197,48612,153300,65106,57931,252241,55787,69864,449638,43854,83827,851734,29891,43603,105541,70115,43603,105541,70115,52848,105541,60870,60750,105541,52968,67130,105541,46588,75788,105541,37930,85906,105541,27812,43603,105541,70115,52848,191118,60870,60750,287138,52968,67130,389818,46588,75788,581522,37930,85906,941289,27812
08_002875_002895_s5,08,block005,9884,13298,96060,9884,13298,96060,27865,13298,78079,38965,13298,66979,46441,13298,59503,55048,13298,50896,71680,13298,34264,9884,13298,96060,27865,73658,78079,38965,160093,66979,46441,262211,59503,55048,468555,50896,71680,906094,34264,34279,115089,71665,34279,115089,71665,42450,115089,63494,48547,115089,57397,53013,115089,52931,59386,115089,46558,76013,115089,29931,34279,115089,71665,42450,200892,63494,48547,300627,57397,53013,408581,52931,59386,609448,46558,76013,1001997,29931
08_002900_002920_s5,08,block005,9031,14896,93744,9031,14896,93744,25495,14896,77280,37052,14896,65723,44755,14896,58020,53254,14896,49521,68040,14896,34735,9031,14896,93744,25495,75527,77280,37052,159570,65723,44755,253364,58020,53254,444986,49521,68040,846862,34735,32559,117446,70216,32559,117446,70216,40952,117446,61823,46869,117446,55906,51298,117446,51477,57953,117446,44822,71892,117446,30883,32559,117446,70216,40952,198341,61823,46869,288231,55906,51298,387752,51477,57953,582031,44822,71892,930325,30883
08_002925_002945_s5,08,block005,6617,32857,98275,6617,32857,98275,37308,32857,67584,55353,32857,49539,63519,32857,41373,71757,32857,33135,84312,32857,20580,6617,32857,98275,37308,144032,67584,55353,280295,49539,63519,421771,41373,71757,665551,33135,84312,1124695,20580,48973,205593,55919,48973,205593,55919,59605,205593,45287,65538,205593,39354,69930,205593,34962,75748,205593,29144,86408,205593,18484,48973,205593,55919,59605,334680,45287,65538,467459,39354,69930,595027,34962,75748,803366,29144,86408,1234397,18484
08_002950_002970_s5,08,block005,9056,20948,123311,9056,20948,123311,36735,20948,95632,51777,20948,80590,59159,20948,73208,68552,20948,63815,84942,20948,47425,9056,20948,123311,36735,100462,95632,51777,207340,80590,59159,317794,73208,68552,503473,63815,84942,880693,47425,45922,151471,86445,45922,151471,86445,55292,151471,77075,61111,151471,71256,65997,151471,66370,74149,151471,58218,89154,151471,43213,45922,151471,86445,55292,253427,77075,61111,353884,71256,65997,450583,66370,74149,623351,58218,89154,966106,43213
