clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
scene-0268_CAM_FRONT_a2fada92_3bf56ebb,scene-0268,scene-0268,517,360,10709,517,360,10709,1799,360,9427,3011,360,8215,4420,360,6806,5599,360,5627,8312,360,2914,517,360,10709,1799,966,9427,3011,2000,8215,4420,3898,6806,5599,10644,5627,8312,31545,2914,2219,1559,9007,2219,1559,9007,3435,1559,7791,4784,1559,6442,5388,1559,5838,6375,1559,4851,8891,1559,2335,2219,1559,9007,3435,2892,7791,4784,4659,6442,5388,7884,5838,6375,17179,4851,8891,35249,2335
scene-0268_CAM_FRONT_df25b3ec_755ef1d0,scene-0268,scene-0268,794,90,9769,794,90,9769,2169,90,8394,2894,90,7669,3447,90,7116,4045,90,6518,5304,90,5259,794,90,9769,2169,333,8394,2894,1000,7669,3447,2489,7116,4045,6577,6518,5304,13960,5259,2545,686,8018,2545,686,8018,3223,686,7340,3607,686,6956,3916,686,6647,4437,686,6126,5623,686,4940,2545,686,8018,3223,1601,7340,3607,3110,6956,3916,5389,6647,4437,9204,6126,5623,15382,4940
scene-0268_CAM_FRONT_e1dffaba_3c18f85f,scene-0268,scene-0268,548,573,11611,548,573,11611,2429,573,9730,3838,573,8321,4840,573,7319,5943,573,6216,7957,573,4202,548,573,11611,2429,1569,9730,3838,3129,8321,4840,6285,7319,5943,15271,6216,7957,32598,4202,3085,2451,9074,3085,2451,9074,4339,2451,7820,5074,2451,7085,5694,2451,6465,6597,2451,5562,8390,2451,3769,3085,2451,9074,4339,4557,7820,5074,7523,7085,5694,12163,6465,6597,21542,5562,8390,35926,3769
scene-0269_CAM_FRONT_2d72c60d_14d8b492,scene-0269,scene-0269,2869,1222,8765,2869,1222,8765,5089,1222,6545,6335,1222,5299,7342,1222,4292,8280,1222,3354,10026,1222,1608,2869,1222,8765,5089,3322,6545,6335,6713,5299,7342,11509,4292,8280,20817,3354,10026,32354,1608,5963,5606,5671,5963,5606,5671,6917,5606,4717,7566,5606,4068,8085,5606,3549,8767,5606,2867,10394,5606,1240,5963,5606,5671,6917,9002,4717,7566,12989,4068,8085,18079,3549,8767,25627,2867,10394,33627,1240
scene-0269_CAM_FRONT_459ac79b_44a799dc,scene-0269,scene-0269,1419,866,9888,1419,866,9888,4103,866,7204,5884,866,5423,7016,866,4291,8098,866,3209,9502,866,1805,1419,866,9888,4103,2722,7204,5884,5974,5423,7016,9465,4291,8098,15563,3209,9502,26020,1805,5079,5040,6228,5079,5040,6228,6592,5040,4715,7315,5040,3992,7895,5040,3412,8603,5040,2704,9760,5040,1547,5079,5040,6228,6592,8010,4715,7315,10407,3992,7895,13416,3412,8603,19102,2704,9760,27152,1547
scene-0269_CAM_FRONT_5512cfa9_21e50bd8,scene-0269,scene-0269,3225,2910,8637,3225,2910,8637,5881,2910,5981,6945,2910,4917,7542,2910,4320,8179,2910,3683,9163,2910,2699,3225,2910,8637,5881,7721,5981,6945,14254,4917,7542,20707,4320,8179,29382,3683,9163,38751,2699,6663,12351,5199,6663,12351,5199,7314,12351,4548,7687,12351,4175,8027,12351,3835,8560,12351,3302,9337,12351,2525,6663,12351,5199,7314,18019,4548,7687,22373,4175,8027,27015,3835,8560,33411,3302,9337,39834,2525
scene-0269_CAM_FRONT_5973a055_0c97832d,scene-0269,scene-0269,2559,1182,9405,2559,1182,9405,4828,1182,7136,6167,1182,5797,7659,1182,4305,8937,1182,3027,10353,1182,1611,2559,1182,9405,4828,3351,7136,6167,7090,5797,7659,12780,4305,8937,22997,3027,10353,35935,1611,5752,5935,6212,5752,5935,6212,7015,5935,4949,7971,5935,3993,8684,5935,3280,9494,5935,2470,10600,5935,1364,5752,5935,6212,7015,10043,4949,7971,14573,3993,8684,20170,3280,9494,28233,2470,10600,37427,1364
scene-0269_CAM_FRONT_adce54dc_18f10858,scene-0269,scene-0269,1752,1065,10022,1752,1065,10022,4414,1065,7360,5451,1065,6323,6275,1065,5499,7046,1065,4728,8443,1065,3331,1752,1065,10022,4414,2618,7360,5451,4860,6323,6275,8524,5499,7046,17579,4728,8443,29325,3331,5206,4043,6568,5206,4043,6568,5962,4043,5812,6498,4043,5276,6920,4043,4854,7456,4043,4318,8758,4043,3016,5206,4043,6568,5962,6501,5812,6498,9745,5276,6920,14671,4854,7456,22462,4318,8758,31043,3016
scene-0269_CAM_FRONT_addc85df_8cf0dfa0,scene-0269,scene-0269,786,183,5096,786,183,5096,2162,183,3720,2847,183,3035,3301,183,2581,3614,183,2268,4064,183,1818,786,183,5096,2162,628,3720,2847,1273,3035,3301,1918,2581,3614,3419,2268,4064,4711,1818,2600,1123,3282,2600,1123,3282,3122,1123,2760,3388,1123,2494,3548,1123,2334,3769,1123,2113,4207,1123,1675,2600,1123,3282,3122,1572,2760,3388,2073,2494,3548,2893,2334,3769,4068,2113,4207,4718,1675
scene-0269_CAM_FRONT_ca37a1ae_a4be46a1,scene-0269,scene-0269,2068,1244,10765,2068,1244,10765,4796,1244,8037,5950,1244,6883,7333,1244,5500,9107,1244,3726,10858,1244,1975,2068,1244,10765,4796,3240,8037,5950,6243,6883,7333,10772,5500,9107,21749,3726,10858,40605,1975,5541,5352,7292,5541,5352,7292,6682,5352,6151,7732,5352,5101,8773,5352,4060,9753,5352,3080,11122,5352,1711,5541,5352,7292,6682,8346,6151,7732,12294,5101,8773,18186,4060,9753,28316,3080,11122,42092,1711
scene-0269_CAM_FRONT_d02a787e_6e90bc36,scene-0269,scene-0269,2345,1782,7372,2345,1782,7372,5116,1782,4601,6669,1782,3048,7338,1782,2379,7924,1782,1793,8550,1782,1167,2345,1782,7372,5116,4383,4601,6669,7970,3048,7338,13069,2379,7924,22876,1793,8550,35631,1167,5875,6634,3842,5875,6634,3842,7112,6634,2605,7485,6634,2232,7796,6634,1921,8201,6634,1516,8670,6634,1047,5875,6634,3842,7112,10321,2605,7485,14470,2232,7796,19622,1921,8201,28337,1516,8670,36778,1047
scene-0270_CAM_FRONT_12a0035c_b70d3599,scene-0270,scene-0270,113,48,15453,113,48,15453,1226,48,14340,1943,48,13623,2267,48,13299,2763,48,12803,3794,48,11772,113,48,15453,1226,180,14340,1943,428,13623,2267,1177,13299,2763,4341,12803,3794,15234,11772,1568,338,13998,1568,338,13998,2146,338,13420,2396,338,13170,2668,338,12898,3107,338,12459,4183,338,11383,1568,338,13998,2146,693,13420,2396,1452,13170,2668,3175,12898,3107,6619,12459,4183,18405,11383
scene-0270_CAM_FRONT_51f37263_af4baa28,scene-0270,scene-0270,2637,1977,11934,2637,1977,11934,5501,1977,9070,6750,1977,7821,7705,1977,6866,8625,1977,5946,10745,1977,3826,2637,1977,11934,5501,4666,9070,6750,8237,7821,7705,13251,6866,8625,23882,5946,10745,42364,3826,6364,6901,8207,6364,6901,8207,7357,6901,7214,7917,6901,6654,8430,6901,6141,9358,6901,5213,11169,6901,3402,6364,6901,8207,7357,10612,7214,7917,14793,6654,8430,20568,6141,9358,30543,5213,11169,44787,3402
scene-0270_CAM_FRONT_71a74ae0_91bb8353,scene-0270,scene-0270,11,86,15741,11,86,15741,1643,86,14109,2328,86,13424,2615,86,13137,3132,86,12620,5087,86,10665,11,86,15741,1643,253,14109,2328,528,13424,2615,1611,13137,3132,6449,12620,5087,20313,10665,1968,440,13784,1968,440,13784,2526,440,13226,2725,440,13027,3020,440,12732,3728,440,12024,5607,440,10145,1968,440,13784,2526,835,13226,2725,1949,13027,3020,4569,12732,3728,9443,12024,5607,23733,10145
scene-0270_CAM_FRONT_8b2da12c_6de2f8b9,scene-0270,scene-0270,36,91,15066,36,91,15066,396,91,14706,1583,91,13519,2021,91,13081,2678,91,12424,4129,91,10973,36,91,15066,396,241,14706,1583,478,13519,2021,975,13081,2678,4037,12424,4129,13515,10973,577,391,14525,577,391,14525,1846,391,13256,2175,391,12927,2547,391,12555,3132,391,11970,4553,391,10549,577,391,14525,1846,716,13256,2175,1180,12927,2547,2832,12555,3132,6075,11970,4553,16773,10549
scene-0270_CAM_FRONT_8d74da14_6a02dd6b,scene-0270,scene-0270,1566,1279,11707,1566,1279,11707,4257,1279,9016,5154,1279,8119,5961,1279,7312,7077,1279,6196,9220,1279,4053,1566,1279,11707,4257,3084,9016,5154,5814,8119,5961,10237,7312,7077,20959,6196,9220,41330,4053,4852,4998,8421,4852,4998,8421,5621,4998,7652,6202,4998,7071,6808,4998,6465,7721,4998,5552,9706,4998,3567,4852,4998,8421,5621,7973,7652,6202,11780,7071,6808,17428,6465,7721,27883,5552,9706,44399,3567
scene-0270_CAM_FRONT_adebba60_12a72195,scene-0270,scene-0270,9,40,15423,9,40,15423,491,40,14941,1757,40,13675,2052,40,13380,2488,40,12944,3569,40,11863,9,40,15423,491,150,14941,1757,346,13675,2052,758,13380,2488,4207,12944,3569,14515,11863,685,263,14747,685,263,14747,1953,263,13479,2172,263,13260,2429,263,13003,2811,263,12621,3944,263,11488,685,263,14747,1953,528,13479,2172,936,13260,2429,2853,13003,2811,6317,12621,3944,17807,11488
scene-0270_CAM_FRONT_c1348c56_5bbe677b,scene-0270,scene-0270,59,75,15226,59,75,15226,864,75,14421,1827,75,13458,2116,75,13169,2613,75,12672,3861,75,11424,59,75,15226,864,224,14421,1827,485,13458,2116,1072,13169,2613,4338,12672,3861,14462,11424,1138,403,14147,1138,403,14147,2013,403,13272,2232,403,13053,2519,403,12766,3071,403,12214,4230,403,11055,1138,403,14147,2013,733,13272,2232,1381,13053,2519,3259,12766,3071,6362,12214,4230,17687,11055
