clip_id,group,unit,B-R_btp,B-R_bfp,B-R_bfn,B-R_oracle_r0_btp,B-R_oracle_r0_bfp,B-R_oracle_r0_bfn,B-R_oracle_r0.4_btp,B-R_oracle_r0.4_bfp,B-R_oracle_r0.4_bfn,B-R_oracle_r0.8_btp,B-R_oracle_r0.8_bfp,B-R_oracle_r0.8_bfn,B-R_oracle_r1.2_btp,B-R_oracle_r1.2_bfp,B-R_oracle_r1.2_bfn,B-R_oracle_r2_btp,B-R_oracle_r2_bfp,B-R_oracle_r2_bfn,B-R_oracle_r4_btp,B-R_oracle_r4_bfp,B-R_oracle_r4_bfn,B-R_morph_r0_btp,B-R_morph_r0_bfp,B-R_morph_r0_bfn,B-R_morph_r0.4_btp,B-R_morph_r0.4_bfp,B-R_morph_r0.4_bfn,B-R_morph_r0.8_btp,B-R_morph_r0.8_bfp,B-R_morph_r0.8_bfn,B-R_morph_r1.2_btp,B-R_morph_r1.2_bfp,B-R_morph_r1.2_bfn,B-R_morph_r2_btp,B-R_morph_r2_bfp,B-R_morph_r2_bfn,B-R_morph_r4_btp,B-R_morph_r4_bfp,B-R_morph_r4_bfn,B-D_btp,B-D_bfp,B-D_bfn,B-D_oracle_r0_btp,B-D_oracle_r0_bfp,B-D_oracle_r0_bfn,B-D_oracle_r0.4_btp,B-D_oracle_r0.4_bfp,B-D_oracle_r0.4_bfn,B-D_oracle_r0.8_btp,B-D_oracle_r0.8_bfp,B-D_oracle_r0.8_bfn,B-D_oracle_r1.2_btp,B-D_oracle_r1.2_bfp,B-D_oracle_r1.2_bfn,B-D_oracle_r2_btp,B-D_oracle_r2_bfp,B-D_oracle_r2_bfn,B-D_oracle_r4_btp,B-D_oracle_r4_bfp,B-D_oracle_r4_bfn,B-D_morph_r0_btp,B-D_morph_r0_bfp,B-D_morph_r0_bfn,B-D_morph_r0.4_btp,B-D_morph_r0.4_bfp,B-D_morph_r0.4_bfn,B-D_morph_r0.8_btp,B-D_morph_r0.8_bfp,B-D_morph_r0.8_bfn,B-D_morph_r1.2_btp,B-D_morph_r1.2_bfp,B-D_morph_r1.2_bfn,B-D_morph_r2_btp,B-D_morph_r2_bfp,B-D_morph_r2_bfn,B-D_morph_r4_btp,B-D_morph_r4_bfp,B-D_morph_r4_bfn
2013_05_28_drive_0006_sync_005575,52,block052,2815,5065,96105,2815,5065,96105,8795,5065,90125,13379,5065,85541,17010,5065,81910,22361,5065,76559,29357,5065,69563,2815,5065,96105,8795,15041,90125,13379,24680,85541,17010,34901,81910,22361,52103,76559,29357,78601,69563,11445,20189,87475,11445,20189,87475,15054,20189,83866,18230,20189,80690,21096,20189,77824,25025,20189,73895,30739,20189,68181,11445,20189,87475,15054,28995,83866,18230,38523,80690,21096,47723,77824,25025,61203,73895,30739,83625,68181
2013_05_28_drive_0006_sync_005580,52,block052,1448,4314,87160,1448,4314,87160,5397,4314,83211,9731,4314,78877,13592,4314,75016,19215,4314,69393,27781,4314,60827,1448,4314,87160,5397,16068,83211,9731,28309,78877,13592,40480,75016,19215,56971,69393,27781,80524,60827,7589,22397,81019,7589,22397,81019,11416,22397,77192,14790,22397,73818,17742,22397,70866,22574,22397,66034,29401,22397,59207,7589,22397,81019,11416,33605,77192,14790,44282,73818,17742,53024,70866,22574,65897,66034,29401,85083,59207
2013_05_28_drive_0006_sync_005585,52,block052,1624,3184,89375,1624,3184,89375,6144,3184,84855,10599,3184,80400,14510,3184,76489,20312,3184,70687,29088,3184,61911,1624,3184,89375,6144,12843,84855,10599,22585,80400,14510,30891,76489,20312,45806,70687,29088,75145,61911,8648,18303,82351,8648,18303,82351,12343,18303,78656,15818,18303,75181,18970,18303,72029,23098,18303,67901,31671,18303,59328,8648,18303,82351,12343,26312,78656,15818,33677,75181,18970,41425,72029,23098,56143,67901,31671,80040,59328
2013_05_28_drive_0006_sync_005590,52,block052,2341,3012,77635,2341,3012,77635,8662,3012,71314,15458,3012,64518,21678,3012,58298,29173,3012,50803,38566,3012,41410,2341,3012,77635,8662,13003,71314,15458,25614,64518,21678,38337,58298,29173,59430,50803,38566,100868,41410,12426,20133,67550,12426,20133,67550,18314,20133,61662,23621,20133,56355,27595,20133,52381,32801,20133,47175,40779,20133,39197,12426,20133,67550,18314,31386,61662,23621,42635,56355,27595,53565,52381,32801,73017,47175,40779,107362,39197
2013_05_28_drive_0006_sync_005595,53,block053,3072,4361,72130,3072,4361,72130,10480,4361,64722,18823,4361,56379,26379,4361,48823,38175,4361,37027,52552,4361,22650,3072,4361,72130,10480,15202,64722,18823,27019,56379,26379,39304,48823,38175,60886,37027,52552,103922,22650,15079,21528,60123,15079,21528,60123,22191,21528,53011,29017,21528,46185,35291,21528,39911,43934,21528,31268,54953,21528,20249,15079,21528,60123,22191,32311,53011,29017,43418,46185,35291,54713,39911,43934,76064,31268,54953,112686,20249
2013_05_28_drive_0006_sync_005600,53,block053,4531,3900,64269,4531,3900,64269,15371,3900,53429,23974,3900,44826,30315,3900,38485,38811,3900,29989,48901,3900,19899,4531,3900,64269,15371,14482,53429,23974,26652,44826,30315,40299,38485,38811,64712,29989,48901,115162,19899,20522,21178,48278,20522,21178,48278,27036,21178,41764,32262,21178,36538,36797,21178,32003,43002,21178,25798,51034,21178,17766,20522,21178,48278,27036,32510,41764,32262,45162,36538,36797,58095,32003,43002,82082,25798,51034,122608,17766
2013_05_28_drive_0006_sync_005605,53,block053,5133,4329,55581,5133,4329,55581,15279,4329,45435,23168,4329,37546,28786,4329,31928,35296,4329,25418,43822,4329,16892,5133,4329,55581,15279,14361,45435,23168,25436,37546,28786,37477,31928,35296,58896,25418,43822,105941,16892,20095,20219,40619,20095,20219,40619,25961,20219,34753,30485,20219,30229,33915,20219,26799,38165,20219,22549,46135,20219,14579,20095,20219,40619,25961,30555,34753,30485,41677,30229,33915,53010,26799,38165,75185,22549,46135,112472,14579
2013_05_28_drive_0006_sync_005610,53,block053,4835,4180,50151,4835,4180,50151,12967,4180,42019,20201,4180,34785,26040,4180,28946,33617,4180,21369,43384,4180,11602,4835,4180,50151,12967,13999,42019,20201,25626,34785,26040,38186,28946,33617,59449,21369,43384,105761,11602,17245,20233,37741,17245,20233,37741,23059,20233,31927,27713,20233,27273,31657,20233,23329,37284,20233,17702,44581,20233,10405,17245,20233,37741,23059,31292,31927,27713,42588,27273,31657,53849,23329,37284,75456,17702,44581,110755,10405
2013_05_28_drive_0006_sync_005615,53,block053,3362,4680,48113,3362,4680,48113,9343,4680,42132,15668,4680,35807,21907,4680,29568,30104,4680,21371,37684,4680,13791,3362,4680,48113,9343,14381,42132,15668,24207,35807,21907,34505,29568,30104,52834,21371,37684,92785,13791,12886,19925,38589,12886,19925,38589,18541,19925,32934,23899,19925,27576,28374,19925,23101,33353,19925,18122,38548,19925,12927,12886,19925,38589,18541,28726,32934,23899,38109,27576,28374,47697,23101,33353,66809,18122,38548,99420,12927
2013_05_28_drive_0006_sync_005620,53,block053,3353,4499,53205,3353,4499,53205,8993,4499,47565,15300,4499,41258,21508,4499,35050,29956,4499,26602,39052,4499,17506,3353,4499,53205,8993,12853,47565,15300,20905,41258,21508,31030,35050,29956,53445,26602,39052,92548,17506,12553,17470,44005,12553,17470,44005,18170,17470,38388,23479,17470,33079,27974,17470,28584,33876,17470,22682,40224,17470,16334,12553,17470,44005,18170,25161,38388,23479,35302,33079,27974,47373,28584,33876,69208,22682,40224,97793,16334
