clip_id,sequence,method,iou,precision,recall,n_points
08_002400_002420_s5,08,ceiling_gt_lidar_gt_pose,0.08291092025478682,0.9284566777337474,0.08344402733660602,88822
08_002425_002445_s5,08,ceiling_gt_lidar_gt_pose,0.10092029481654517,0.9635646990963276,0.10130689226477456,82035
08_002450_002470_s5,08,ceiling_gt_lidar_gt_pose,0.20630491816932495,0.9493452571063558,0.20860118462790894,89656
08_002475_002495_s5,08,ceiling_gt_lidar_gt_pose,0.19653801953648725,0.9303037171350861,0.19947512939518383,94879
08_002500_002520_s5,08,ceiling_gt_lidar_gt_pose,0.12640485533820317,0.9180845717567665,0.12784675984244095,93212
08_002525_002545_s5,08,ceiling_gt_lidar_gt_pose,0.11970906362670113,0.8352479278755272,0.12260405549626467,86454
08_002550_002570_s5,08,ceiling_gt_lidar_gt_pose,0.10364838093234453,0.9182976079527804,0.10461309787128625,91431
08_002575_002595_s5,08,ceiling_gt_lidar_gt_pose,0.10791914716876644,0.9235781990521327,0.10889152755465531,93993
08_002600_002620_s5,08,ceiling_gt_lidar_gt_pose,0.13273159413728708,0.873069048948446,0.13534333525678016,93434
08_002625_002645_s5,08,ceiling_gt_lidar_gt_pose,0.08464384828862165,0.9368143922773147,0.08512985459475265,94318
08_002650_002670_s5,08,ceiling_gt_lidar_gt_pose,0.09611944503134023,0.9002044720005277,0.09715469436277825,89247
08_002675_002695_s5,08,ceiling_gt_lidar_gt_pose,0.09897907465064079,0.9190945764231286,0.0998490455784963,83216
08_002700_002720_s5,08,ceiling_gt_lidar_gt_pose,0.10557222906510765,0.9456876456876457,0.10621623744403816,89726
08_002725_002745_s5,08,ceiling_gt_lidar_gt_pose,0.10839307249095538,0.9641686531585221,0.1088314680434216,89362
08_002750_002770_s5,08,ceiling_gt_lidar_gt_pose,0.0867052929508338,0.9338005572912269,0.0872415452458525,84638
08_002775_002795_s5,08,ceiling_gt_lidar_gt_pose,0.10272992617180793,0.9453765706116921,0.10334334005017067,88871
08_002800_002820_s5,08,ceiling_gt_lidar_gt_pose,0.11430564102564103,0.9617535381429064,0.11482760610281814,87557
08_002825_002845_s5,08,ceiling_gt_lidar_gt_pose,0.1236936229608305,0.9416882513116823,0.1246483578310711,85521
08_002850_002870_s5,08,ceiling_gt_lidar_gt_pose,0.1373847574896739,0.9381173390455789,0.13864120016180376,89282
08_002875_002895_s5,08,ceiling_gt_lidar_gt_pose,0.12122977346278317,0.8559770189984984,0.12375405874801781,85703
08_002900_002920_s5,08,ceiling_gt_lidar_gt_pose,0.10119784426120242,0.8254757281553398,0.10341036244222816,80423
08_002925_002945_s5,08,ceiling_gt_lidar_gt_pose,0.13940695773990194,0.8724137931034482,0.14230827899172482,88565
08_002950_002970_s5,08,ceiling_gt_lidar_gt_pose,0.1183691070087656,0.8817079249044691,0.12027922367357423,86590
08_002975_002995_s5,08,ceiling_gt_lidar_gt_pose,0.09355176862702935,0.8717049652495148,0.09485783588953921,84412
08_003000_003020_s5,08,ceiling_gt_lidar_gt_pose,0.10846619264231772,0.965463020160611,0.10888869184094853,92416
08_003025_003045_s5,08,ceiling_gt_lidar_gt_pose,0.1176922781258408,0.9511285980534272,0.1184083321517421,90386
08_003050_003070_s5,08,ceiling_gt_lidar_gt_pose,0.10085812785730346,0.9353605560382277,0.10156603773584906,91651
08_003075_003095_s5,08,ceiling_gt_lidar_gt_pose,0.1023864710528701,0.9518478391717828,0.10291954651359549,92088
08_003100_003120_s5,08,ceiling_gt_lidar_gt_pose,0.08931646327768211,0.964571848585079,0.08961043395131278,89497
08_003125_003145_s5,08,ceiling_gt_lidar_gt_pose,0.09580278318120604,0.9802495598254612,0.09598806614593484,87053
08_003150_003170_s5,08,ceiling_gt_lidar_gt_pose,0.0933683149531602,0.9710938102212288,0.09362853299443342,90883
08_003175_003195_s5,08,ceiling_gt_lidar_gt_pose,0.08866572533287587,0.970533005922288,0.08890506119748594,93031
08_003200_003220_s5,08,ceiling_gt_lidar_gt_pose,0.091314356452858,0.9798507462686568,0.09148614469164361,91900
08_003225_003245_s5,08,ceiling_gt_lidar_gt_pose,0.08528762613400653,0.975762182248121,0.08546869452006155,87934
08_003250_003270_s5,08,ceiling_gt_lidar_gt_pose,0.09122729739721394,0.9648115797354629,0.09153184436903165,84874
08_003275_003295_s5,08,ceiling_gt_lidar_gt_pose,0.09122325952833589,0.9560065175529551,0.09160782087221887,92882
