clip_id,sequence,anchor_frame,method,deployable,scale,s_star_joint,abs_log_scale_err,iou,precision,recall,n_pred_occupied,n_gt_occupied,n_points,reliable_target
08_000125_000145_s5,08,145,oracle_depth,0,31.532846715328468,31.930175352630194,0.012521743084548564,0.07475954189497448,0.3876451077943615,0.08477062067347178,41004,187506,336885,1
08_000125_000145_s5,08,145,oracle_pose,0,32.3325105168543,31.930175352630194,0.01252174308454812,0.07492444573958573,0.3869550441790465,0.08501594615638966,41196,187506,336874,1
08_000125_000145_s5,08,145,oracle_joint,0,31.930175352630194,31.930175352630194,0.0,0.07536982387549106,0.38800590270217966,0.08553859609825819,41337,187506,336877,1
08_000150_000170_s5,08,170,raw_canonical,1,1.0,32.90385599055384,3.493589854263848,0.0,0.0,0.0,76,174556,19166,1
08_000150_000170_s5,08,170,global_median_train,1,27.440963354012354,32.90385599055384,0.18155294436891145,0.05561424451463644,0.4162482704091718,0.06031875157542565,25295,174556,316089,1
08_000150_000170_s5,08,170,oracle_depth,0,32.406995230524636,32.90385599055384,0.015215552592398929,0.02270367073584266,0.23206065529379907,0.024547996058571463,18465,174556,315096,1
08_000150_000170_s5,08,170,oracle_pose,0,33.40833456930091,32.90385599055384,0.015215552592398929,0.021721022278107606,0.2272046173483545,0.02345379133344027,18019,174556,314766,1
08_000150_000170_s5,08,170,oracle_joint,0,32.90385599055384,32.90385599055384,0.0,0.022277753018823877,0.23164340486567,0.024055317491234903,18127,174556,314931,1
08_000175_000195_s5,08,195,raw_canonical,1,1.0,36.29473796867138,3.591672771222422,0.0,0.0,0.0,56,145009,17924,1
08_000175_000195_s5,08,195,global_median_train,1,27.440963354012354,36.29473796867138,0.2796358613274852,0.026971780969043947,0.1422220868982736,0.032211793750732715,32843,145009,331957,1
08_000175_000195_s5,08,195,oracle_depth,0,36.1510353227771,36.29473796867138,0.003967183393533524,0.06131888140087616,0.3497351547253973,0.06920949734154432,28696,145009,331310,1
