clip_id,frame,n_valid,s_frame,mad_log,moge_mask_fraction,lingbot_conf_fraction,fov_x_deg
scene-0972_CAM_FRONT_1241c106_98f5dd32,1,88836,24.442603616153498,0.04311158425631145,0.7460208021432512,0.632259081238673,66.98835754394531
scene-0972_CAM_FRONT_1241c106_98f5dd32,2,94388,25.204551499862717,0.02938113330395664,0.7798111522601319,0.6743624090562866,65.46256256103516
scene-0972_CAM_FRONT_1241c106_98f5dd32,3,101692,24.553950364985518,0.01963743741327839,0.8512200246894125,0.6811257321461404,67.41607666015625
scene-0972_CAM_FRONT_1241c106_98f5dd32,4,101693,26.265425233241174,0.02123891450392401,0.8387439918052163,0.6810272371496862,65.69905090332031
scene-0972_CAM_FRONT_7d8ff417_32acb4d3,0,118258,22.29162690839695,0.021829805486473397,0.8684238174034092,0.7986171302497833,65.67243194580078
scene-0972_CAM_FRONT_7d8ff417_32acb4d3,1,122301,22.480008896083046,0.023821195374113202,0.8939996848160113,0.8270624852257505,66.53858947753906
scene-0972_CAM_FRONT_7d8ff417_32acb4d3,2,127780,22.703616727941178,0.024606938132355927,0.9143684500827358,0.8517387650040711,68.857421875
scene-0972_CAM_FRONT_7d8ff417_32acb4d3,3,126949,21.99305508378623,0.02595101812006506,0.9314868804664723,0.8457043048879783,69.87017822265625
scene-0972_CAM_FRONT_7d8ff417_32acb4d3,4,126664,21.710575181159424,0.0219296088419072,0.9258135686707115,0.845750269219657,69.26030731201172
scene-0972_CAM_FRONT_4f5b8cae_82c379e1,0,124951,27.227097162490647,0.021906681113643245,0.9371010952643606,0.826517479578704,64.92203521728516
scene-0972_CAM_FRONT_4f5b8cae_82c379e1,1,118431,24.11111667097107,0.026028957334040648,0.9478895805426417,0.7869684553358023,64.73384857177734
scene-0972_CAM_FRONT_4f5b8cae_82c379e1,2,115358,23.705831677872865,0.02471246527841564,0.9530901163554225,0.7630735691960182,64.5836181640625
scene-0972_CAM_FRONT_4f5b8cae_82c379e1,3,109206,23.671065529942968,0.026151833777265265,0.9553555012738686,0.720444934730649,62.58602523803711
scene-0972_CAM_FRONT_4f5b8cae_82c379e1,4,106506,23.210073179164112,0.02285625961401294,0.9563864155700891,0.6996493578126232,63.08194351196289
scene-0972_CAM_FRONT_6b179cb7_0c381dc5,0,111556,26.702524895578655,0.023072482500740676,0.9570824468783653,0.7383907230846006,62.76615524291992
scene-0972_CAM_FRONT_6b179cb7_0c381dc5,1,111560,28.485032684948973,0.013589571787090637,0.957962335513356,0.7496651170120557,61.731990814208984
scene-0972_CAM_FRONT_6b179cb7_0c381dc5,2,109244,27.501338353064067,0.015676161531849697,0.9614621910540277,0.7264137315157724,64.53145599365234
scene-0972_CAM_FRONT_6b179cb7_0c381dc5,3,106616,26.645711936090233,0.0228914431475149,0.9606348330838127,0.7100372967719907,65.46259307861328
scene-0972_CAM_FRONT_6b179cb7_0c381dc5,4,107314,26.43441415047859,0.02527533694936901,0.9633598613190449,0.723445748955953,66.08912658691406
scene-1059_CAM_FRONT_cb4504ed_fff51b00,0,71450,18.218172873590227,0.029485741621144035,0.6399942216268747,0.513572610511386,71.67953491210938
scene-1059_CAM_FRONT_cb4504ed_fff51b00,1,71134,20.675154804356204,0.022986140656071852,0.6368883460720195,0.482579518293804,65.46650695800781
scene-1059_CAM_FRONT_cb4504ed_fff51b00,2,70632,19.632413033043647,0.018190733197142928,0.6328828828828829,0.5307632705591889,66.6645278930664
scene-1059_CAM_FRONT_cb4504ed_fff51b00,3,67999,22.680901385175286,0.017890095023338937,0.6493052819583431,0.5244398917868306,63.51764678955078
scene-1059_CAM_FRONT_cb4504ed_fff51b00,4,66640,20.46471087346311,0.033329211835678496,0.6189556903842618,0.5599834528405957,68.43265533447266
scene-1059_CAM_FRONT_97d92ade_bdea805e,0,64096,17.253425018046197,0.03837581829127146,0.6011871930239278,0.45798203451264674,66.18578338623047
scene-1059_CAM_FRONT_97d92ade_bdea805e,1,64130,16.19337263579049,0.029060036895876884,0.5791308801512883,0.456990518215008,68.6147689819336
scene-1059_CAM_FRONT_97d92ade_bdea805e,2,61727,18.13462293939753,0.029539342435261684,0.5895319517768497,0.5180574160165997,60.52678298950195
scene-1059_CAM_FRONT_97d92ade_bdea805e,3,61373,19.0256794977925,0.02283384944851541,0.6112139836629632,0.5315512305308223,60.34695053100586
scene-1059_CAM_FRONT_97d92ade_bdea805e,4,60852,17.33502956081081,0.02805544540321847,0.620978120978121,0.4914243689753894,61.4587287902832
scene-1059_CAM_FRONT_a945d7d0_3aeb1dd2,0,71040,18.295283928322167,0.03255337572824124,0.6061053765135398,0.5245252541170908,62.1328010559082
scene-1059_CAM_FRONT_a945d7d0_3aeb1dd2,1,69050,19.348455200574175,0.01769550814233911,0.6212407743019988,0.5436267170961049,60.170433044433594
scene-1059_CAM_FRONT_a945d7d0_3aeb1dd2,2,80306,18.988228462837842,0.03310445280887797,0.7072006408741103,0.6317075092585297,61.6667366027832
scene-1059_CAM_FRONT_a945d7d0_3aeb1dd2,3,73911,19.445480872844833,0.03281525438713828,0.7076996821894781,0.5443818454022535,62.4925651550293
scene-1059_CAM_FRONT_a945d7d0_3aeb1dd2,4,74242,17.340832919563063,0.026154487948018446,0.7206287920573635,0.5509219131668112,62.46879196166992
scene-1059_CAM_FRONT_3f8c45e9_2ff6e2f9,0,84856,16.83653830050911,0.03615429414979032,0.6533961074777401,0.7184290704698868,59.276885986328125
scene-1059_CAM_FRONT_3f8c45e9_2ff6e2f9,1,89624,20.223856263241526,0.04011333142267781,0.6464620597273658,0.8294985948047172,54.3209114074707
scene-1059_CAM_FRONT_3f8c45e9_2ff6e2f9,2,90048,16.9977809117493,0.029885274906851222,0.653645628135424,0.8417316733643264,61.85576248168945
scene-1059_CAM_FRONT_3f8c45e9_2ff6e2f9,3,90235,19.056511278973506,0.05264842346307086,0.6819727891156463,0.8488824101068999,62.95750427246094
scene-1059_CAM_FRONT_3f8c45e9_2ff6e2f9,4,97490,15.395709125681368,0.04098962289847097,0.7520224305938592,0.816077009954561,67.08859252929688
scene-1059_CAM_FRONT_eb82a835_82f21b3a,0,103811,12.51062096573982,0.0997616342173071,0.8263204895857957,0.7452459748378115,67.4134292602539
scene-1059_CAM_FRONT_eb82a835_82f21b3a,1,104175,12.591780550373135,0.10755729223172494,0.8260184382633362,0.7336629632548,62.37807083129883
scene-1059_CAM_FRONT_eb82a835_82f21b3a,2,93174,11.33219990424791,0.06203979070376553,0.7831731148057679,0.6767262889711869,69.11637115478516
scene-1059_CAM_FRONT_eb82a835_82f21b3a,3,90289,13.10607068020632,0.060258518270382755,0.7672760223780632,0.6693325979040264,62.2917366027832
scene-1059_CAM_FRONT_eb82a835_82f21b3a,4,88124,12.16336179299259,0.046212812028370465,0.8132469203897775,0.6369014787382135,67.39860534667969
scene-1059_CAM_FRONT_f8ac246e_31c4135d,0,82095,10.136418332891951,0.058189366793874875,0.8269836892285872,0.5694980694980695,72.85736083984375
scene-1059_CAM_FRONT_f8ac246e_31c4135d,1,77551,9.702244338695442,0.06402058818083933,0.8069892049483887,0.5253920100858877,73.53710174560547
scene-1059_CAM_FRONT_f8ac246e_31c4135d,2,77052,12.53695532316651,0.06066385237608385,0.8297415491293042,0.5140913508260447,62.6644401550293
