clip_id,group,frame,offset,n_valid,s_c0,s_c3,s_moge,s_oracle,c0_abs_rel,c0_median_abs_rel,c0_median_abs_log,c0_rmse_m,c0_delta1,c0_n_valid,c0_delta2,c0_delta3,c0_absrel_0_10,c0_absrel_10_20,c0_absrel_20_40,c0_absrel_40_80,c3_abs_rel,c3_median_abs_rel,c3_median_abs_log,c3_rmse_m,c3_delta1,c3_n_valid,c3_delta2,c3_delta3,c3_absrel_0_10,c3_absrel_10_20,c3_absrel_20_40,c3_absrel_40_80,moge_abs_rel,moge_median_abs_rel,moge_median_abs_log,moge_rmse_m,moge_delta1,moge_n_valid,moge_delta2,moge_delta3,moge_absrel_0_10,moge_absrel_10_20,moge_absrel_20_40,moge_absrel_40_80,oracle_abs_rel,oracle_median_abs_rel,oracle_median_abs_log,oracle_rmse_m,oracle_delta1,oracle_n_valid,oracle_delta2,oracle_delta3,oracle_absrel_0_10,oracle_absrel_10_20,oracle_absrel_20_40,oracle_absrel_40_80
08_000900_000920_s5,08,2,-2,17351,27.3665,26.71221727559791,23.927530924479164,26.853858346217287,0.06191792196107432,0.05037626991222354,0.04929222433012681,1.6970096147314686,0.973661460434557,17351,0.9933721399342977,0.9989625958158032,0.06500416485629508,0.053858922854083766,0.07724919976679914,0.10427596485676885,0.04451575502743104,0.028700919906857806,0.028400363252088834,1.6329855747290443,0.9744683303555991,17351,0.9936026741974526,0.998789695118437,0.041881197468500025,0.03871116296875919,0.07337374091690413,0.09345956978594794,0.09473211493088633,0.08508587272053515,0.08888024522772486,2.1246764671964047,0.9665725318425451,17351,0.9938908420263962,0.9978675580658175,0.08487513958754506,0.09498375588850602,0.12824549622930798,0.1614385858829634,0.04755500785609641,0.03290493701090745,0.032444174684312044,1.6407031542764277,0.9744683303555991,17351,0.9936026741974526,0.9988473286842257,0.04637247400773714,0.04103166437818006,0.073472950255931,0.09566288463448396
08_000900_000920_s5,08,3,-1,17477,27.3665,26.71221727559791,23.927530924479164,26.853858346217287,0.06801365315887284,0.05639680851063821,0.05499087252706936,1.4681995508293515,0.9767122503862219,17477,0.996853006808949,0.9983978943754649,0.06580410548020134,0.07130120362645131,0.062495161812447124,0.05286460297769303,0.04895662635062969,0.03385406148179808,0.033406248252368265,1.3391210030543677,0.979344281055101,17477,0.9970818790410253,0.9983978943754649,0.041089677039522564,0.054194278094588995,0.05885163108507182,0.043182559694686276,0.08453679986558274,0.07935086091359463,0.0825872206243623,1.7102019396339927,0.9811180408536935,17477,0.9974824054471592,0.9977684957372547,0.07608003499144386,0.08524453943351318,0.11681244807425722,0.12673131136339955,0.05268046687863785,0.03843295810739974,0.03782638944083061,1.3606680048070923,0.9788865365909482,17477,0.9970818790410253,0.9983978943754649,0.04624184303338561,0.05738527311704543,0.058921630960946686,0.04411248696952451
08_000900_000920_s5,08,4,0,16277,27.3665,26.71221727559791,23.927530924479164,26.853858346217287,0.074800086762304,0.05403647840398195,0.05281111389688764,2.0853162354882797,0.9646126436075444,16277,0.9865454322049517,0.9904159243103766,0.06560688136832156,0.07773621041445684,0.10211691799365752,0.18268129905177558,0.0573724742359349,0.03360453787077771,0.033336236945701536,2.022937778893152,0.9683602629477176,16277,0.9868526141180807,0.9901701787798735,0.043818240021110136,0.06254745069145397,0.09538715297471262,0.1810852108507934,0.09621253551156168,0.08313878309606186,0.08669847171309208,2.321511101575862,0.9562572955704368,16277,0.9878970326227192,0.9898015604841187,0.09089303390800273,0.09118743715134171,0.14099373317646882,0.2477097564902403,0.060835715880701975,0.037443679129259944,0.036910078012322156,2.032153896335232,0.967377280825705,16277,0.9869140505007065,0.9902316151624992,0.04826603334469515,0.06550428404675104,0.09643801740515774,0.18101078127748924
08_000925_000945_s5,08,0,-4,15780,27.3665,26.79979316609128,24.789300598648023,25.759100668915437,0.11794722923769527,0.06600369646225751,0.06402187807958426,2.473085682511988,0.9306717363751584,15780,0.976552598225602,0.9804182509505703,0.1435838269793328,0.09356148989837879,0.11625102778123822,0.06836814964436769,0.10059994555295469,0.04556267677329515,0.04465504115064478,2.3783513265155367,0.9309252217997465,15780,0.9769961977186312,0.9804816223067173,0.12475641447505721,0.07706401664021953,0.09951368687872858,0.07771362043135743,0.0941382824052838,0.045306425008053756,0.04622193091484794,2.3643515122260554,0.9311787072243346,15780,0.976362484157161,0.9812420785804816,0.12303163833892536,0.06458032708405474,0.09279808910778298,0.14278243350154657,0.08166871838508603,0.023502084046082453,0.023458086199919514,2.305975338526643,0.9344740177439798,15780,0.9773764258555133,0.9806717363751585,0.10764792911747872,0.05485271470453134,0.08283539069836474,0.10984388628306713
08_000925_000945_s5,08,1,-3,14411,27.3665,26.79979316609128,24.789300598648023,25.759100668915437,0.13850817458711465,0.053961795948616456,0.052704404390770954,2.7338096626012383,0.9375477066130039,14411,0.9505932967871764,0.9592672264242592,0.1613556907833138,0.11062434395369387,0.11104696798294655,0.057373541895092084,0.12232535609105802,0.035630013845737114,0.03514452384436351,2.6688527162157425,0.9376864894871972,14411,0.951495385469433,0.9584345291790993,0.14424734551738502,0.09475419591281041,0.09633904078964751,0.06747869584506277,0.12967362944488808,0.05272148497316916,0.05399539631314676,2.6974021883916293,0.9349802234404274,14411,0.9506626882242731,0.9571854833113593,0.15484964385748634,0.09538030868087573,0.10159314312590524,0.13481091296512043,0.11089143312407683,0.023723210972142656,0.023881818017061462,2.632437081476264,0.9356047463742974,14411,0.9512178197210465,0.9577406148081327,0.13490370984841302,0.07803113246707793,0.08610220767290891,0.10096322799062835
08_000925_000945_s5,08,2,-2,13428,27.3665,26.79979316609128,24.789300598648023,25.759100668915437,0.10391402830126376,0.059059562628529405,0.057546854254018065,2.3722922451411432,0.9095918975275543,13428,0.9636580280011915,0.9778820375335121,0.11022647444040877,0.09895294843030114,0.09394989324115875,0.10796269671629229,0.08940281331401868,0.03970159261178654,0.03905796700541142,2.31633492858747,0.9118260351504319,13428,0.9642537980339589,0.9785522788203753,0.09278782317424406,0.08714281344026496,0.08105917287877895,0.11124868868322876,0.09679884115955843,0.054068076508851495,0.05531057485074231,2.4561656410169004,0.905347036044087,13428,0.9626899016979446,0.9808608876973488,0.09427797665711324,0.09958636517866723,0.09167473203899447,0.1665312676577507,0.07968439082797407,0.03010835121668855,0.030233415088698257,2.3236942936136207,0.9104855525767054,13428,0.9644772117962467,0.9792969913613345,0.0768889034224846,0.08284858947028813,0.07602780996059876,0.13393004312446047
08_000925_000945_s5,08,3,-1,16017,27.3665,26.79979316609128,24.789300598648023,25.759100668915437,0.09656076428823306,0.056198552407126616,0.05489282850522548,2.2515424667988935,0.9320097396516202,16017,0.9717175501030155,0.9812074670662421,0.10847187361038184,0.08448653087796089,0.08990827024911285,0.07415563411380773,0.08328297453762476,0.03961938033124524,0.039087880379002904,2.2196303668847293,0.9413747892863832,16017,0.9725916214022601,0.9812074670662421,0.0905252122160185,0.07368644499665915,0.08438353631360956,0.08532402211649982,0.0938456009508723,0.060872905395574245,0.06244638735098329,2.4332080381456698,0.9373166011113192,16017,0.9719048510957108,0.982768308672036,0.08644575518478799,0.09642520155637331,0.1086790985744536,0.15324775478386019,0.07637725410918499,0.034639018746162105,0.03491450022092035,2.269137584950289,0.9434975338702628,16017,0.9737778610226634,0.9822064056939501,0.07253219818058163,0.07464953367514227,0.09148017246092278,0.12012135076766581
08_000925_000945_s5,08,4,0,16086,27.3665,26.79979316609128,24.789300598648023,25.759100668915437,0.08827910673085551,0.041772585320052236,0.04109117883038338,1.910737319099515,0.9288822578639812,16086,0.9713415392266567,0.9842098719383314,0.09803410930906484,0.08298077514571225,0.06884397633879198,0.039994588038227974,0.07945495050145314,0.030289026849433923,0.030240855679326772,1.9236979350331933,0.9316175556384434,16086,0.9711550416511252,0.9844585353723735,0.08497606841339618,0.07298136662452062,0.08043754868326523,0.05242710095279895,0.10596497945838448,0.07255829788649133,0.0748714525750358,2.28755916776936,0.9188113887852791,16086,0.9660574412532638,0.9842098719383314,0.10065785242860728,0.10162121068160464,0.14175370574398571,0.12351303280452273,0.08523438968727082,0.04370720692652988,0.044313107524180384,2.0566130527883297,0.9301255750341912,16086,0.9682332463011314,0.9846450329479051,0.08228277669518753,0.08136817228462918,0.11032715546617354,0.08922335532886999
08_000950_000970_s5,08,0,-4,17668,27.3665,26.30981103788358,23.57581604251012,26.507648316909883,0.08398753066146598,0.07020810931899633,0.0680651459111099,1.943949604067837,0.9709078560108672,17668,0.9913968757074938,0.9962644328729907,0.08519243971348264,0.07594583457552455,0.1112746378669614,0.1150599848613311,0.05390415259716557,0.0347202370572959,0.034286005397055064,1.7601438031630838,0.9728888385782205,17668,0.9913968757074938,0.996604029884537,0.05290867556635531,0.046542114377569256,0.08590492424430954,0.10040843707314875,0.09383048541355549,0.08127815182064882,0.08475928043630565,2.2209208476285944,0.9649083088068825,17668,0.9894724926420647,0.9960380348652932,0.09337936314565219,0.08803195006850531,0.11696832050076392,0.13258709859551052,0.05876596527166349,0.0411789071044007,0.040512254275718584,1.779499769814643,0.9726058410685986,17668,0.9913968757074938,0.9966606293864614,0.058330801038774076,0.05115905544113067,0.08974945248708097,0.10221681279590905
08_000950_000970_s5,08,1,-3,17984,27.3665,26.30981103788358,23.57581604251012,26.507648316909883,0.08169914226870885,0.064051538716082,0.06218421095233806,2.131089840156811,0.9556272241992882,17984,0.9976089857651246,0.9998887900355872,0.07920093029156905,0.08371179460351977,0.07487285776479118,0.11816410936882993,0.05519499010425824,0.029714599112784096,0.029391132902018224,2.095578171144813,0.9579626334519573,17984,0.9975533807829181,0.9998887900355872,0.04776671387606256,0.05972099286258105,0.05457423167988389,0.11644991122899177,0.1022496773063302,0.09015053079837873,0.09428663366925694,2.81622416995103,0.9267126334519573,17984,0.9941614768683275,0.9998887900355872,0.09444267188004626,0.10568360407894624,0.10737740402547988,0.16466146731469614,0.059035467430477474,0.03545501237929233,0.034981725384299445,2.086899525349017,0.9575733985765125,17984,0.9974977758007118,0.9998887900355872,0.05266283946391199,0.06300048219310786,0.056847175409471984,0.1160933221314301
08_000950_000970_s5,08,2,-2,17856,27.3665,26.30981103788358,23.57581604251012,26.507648316909883,0.10114981476179104,0.07243720346715322,0.06999690335252384,2.1260920307340108,0.9345318100358423,17856,0.9959117383512545,0.9990479390681004,0.09017428765533952,0.11778689926696151,0.08784986165092681,0.11353664657641652,0.06891549152987964,0.03606216859659986,0.035572341319507705,1.9257037324581916,0.9408042114695341,17856,0.9963037634408602,0.9993839605734767,0.05461385011281467,0.08588757395934579,0.06318322873600701,0.10369931989169993,0.0925556184024001,0.08200909473630097,0.0854102758389319,2.284724513874217,0.9448364695340502,17856,0.9946236559139785,0.9998879928315412,0.08417850704424079,0.10061747663790865,0.08866592758778272,0.14305924965666275,0.07417110243066062,0.04273297093275702,0.04198617941642657,1.9496469651328008,0.9398521505376344,17856,0.9963037634408602,0.9993839605734767,0.06068841170953774,0.09096671161043622,0.06652689723471532,0.10504391594578354
08_000950_000970_s5,08,3,-1,17381,27.3665,26.30981103788358,23.57581604251012,26.507648316909883,0.0814580195557698,0.04727197785575985,0.04633019648401371,1.8948101998040394,0.9374029112249007,17381,0.9793452620677752,0.9995397272884183,0.0952775972045135,0.06518511643266123,0.0795888861427561,0.10225252486224179,0.0598707423666201,0.022806017270393577,0.0228084443127079,1.794346955451765,0.9393015361601749,17381,0.9897013980783614,0.999597261377366,0.06892411364761186,0.0496436261363763,0.0470838130861411,0.1082189355639575,0.11690202201301746,0.10529061839540867,0.11120192913010563,2.3202144099061828,0.9167481732926759,17381,0.9909096139462632,0.9993095909326276,0.11723786923858517,0.11864067195656432,0.08376378271345766,0.1942510541343895,0.06148263599076956,0.024059689425741708,0.02395388040393298,1.7994096586178907,0.9393590702491226,17381,0.9884931822104597,0.999597261377366,0.07150384152453636,0.04992606803079334,0.051490545581103046,0.10452175510293724
08_000950_000970_s5,08,4,0,17163,27.3665,26.30981103788358,23.57581604251012,26.507648316909883,0.08198921963400876,0.051625014768431024,0.050364428941747974,1.71612607872304,0.9678960554681583,17163,0.9888714094272563,0.99749461049933,0.08934173650803212,0.07669878325780222,0.0684270620378426,0.14563595217606493,0.056184451398612945,0.028850192567510192,0.02885975549562625,1.5566343584875988,0.9775097593660782,17163,0.9893375284041251,0.9973780807551127,0.05668477226479253,0.05722539462821448,0.03497621541229678,0.17695038633083465,0.09411168804330976,0.09759727795865487,0.1022324007293729,2.038665683849867,0.9765192565402319,17163,0.9909689448231661,0.9960962535687234,0.09339952071496142,0.09250956644852953,0.08768557863062568,0.2624779304654341,0.05870895321115518,0.02859911998750721,0.028556187509706454,1.571713113766626,0.9760531375633631,17163,0.989220998659908,0.9973780807551127,0.060215010036503314,0.0585834953794751,0.03993433817161013,0.1707614442727751
08_000975_000995_s5,08,0,-4,17299,27.3665,28.89278821053182,26.6021544667914,29.185404980400538,0.06227639121534917,0.05496902833230957,0.0562738008519208,2.536914367163365,0.9795363893866698,17299,0.9956066824671946,0.9987860569975143,0.05554663800753067,0.05625689185296263,0.0609220822118814,0.2232722348055403,0.04487102806454095,0.03069800774123191,0.0307060212305017,2.2626731881511426,0.9879183767847852,17299,0.997051852708249,0.9988438638071565,0.03551604932315656,0.03828638556050593,0.06223762798547423,0.1799524668114953,0.0821632149795464,0.07870292390811628,0.08162986672498418,2.7620793669635333,0.9683218683160877,17299,0.9942771258454246,0.9987860569975143,0.07727753063437522,0.07731828536741422,0.07039723421300585,0.24496621824680906,0.04678644060403766,0.03126928679915633,0.03116549250374634,2.24269291225461,0.9882652176426383,17299,0.9973408867564599,0.9988438638071565,0.03689602493253243,0.041594996235928265,0.06646667464020353,0.17164729188161565
08_000975_000995_s5,08,1,-3,16494,27.3665,28.89278821053182,26.6021544667914,29.185404980400538,0.07139020302515328,0.05971495349764272,0.06134006235533507,3.3302208117411998,0.957984721716988,16494,0.9893294531344732,0.9973323632836183,0.06399618807901451,0.04974569999914459,0.07630880283246018,0.2857931246979241,0.05568069152176105,0.029370417023942243,0.029404534943682448,3.058370756169397,0.9661695161877046,16494,0.9943009579240936,0.9975748757123802,0.03835079345321763,0.04044090837065269,0.07820406591104576,0.2459602803935985,0.08999753711334725,0.08277161083221848,0.08597841460382738,3.548083920886144,0.9482842245665091,16494,0.98647993209652,0.9972717351764278,0.08643529909732718,0.06879968195546957,0.08603136758432811,0.305740901539099,0.05712241072666411,0.030849010149262054,0.030762894132127405,3.035097411733766,0.9664726567236571,16494,0.9946647265672366,0.9975748757123802,0.03786137542131658,0.04459623498554787,0.0820765518677653,0.23832361114948888
08_000975_000995_s5,08,2,-2,16413,27.3665,28.89278821053182,26.6021544667914,29.185404980400538,0.0721736315879782,0.05278654839097026,0.05405814262323805,3.6260070901363,0.9422409065984281,16413,0.9829403521598733,0.9953085968439651,0.05495290362335768,0.04811036674098659,0.09617842270207945,0.32939680710079594,0.05908838408836458,0.02801132114264244,0.027889780870248515,3.353792743016286,0.959970754889417,16413,0.9892767927862061,0.9954913787851094,0.02324161323554998,0.0424437379726116,0.10209980854954011,0.29199583338230617,0.09042421620367001,0.07693381009027685,0.07969611971653645,3.8418479223975393,0.9313958447572046,16413,0.979284713336989,0.9950648875891062,0.07862761954846734,0.0694831124648498,0.10204521395912229,0.34812673438590475,0.06234122932503627,0.03360819928024805,0.0331992794792586,3.329325742961347,0.9588740632425516,16413,0.9906171936879303,0.9954913787851094,0.024494751298655994,0.04830034377021635,0.10582557027400381,0.2848253972589504
08_000975_000995_s5,08,3,-1,16235,27.3665,28.89278821053182,26.6021544667914,29.185404980400538,0.06827457842180917,0.04546733356940511,0.046380079774198224,3.2180102630868257,0.9483831228826609,16235,0.9862642439174623,0.9990144748999076,0.04945002942508501,0.05278483779314396,0.1047917898570868,0.3836183250535425,0.06167609940741788,0.03398796321439653,0.03378463551372457,3.008603036427894,0.9493070526639975,16235,0.9909454881429012,0.9991376655374191,0.02491228266459461,0.06018388619554779,0.10375931634547413,0.34924140130886805,0.08556943741243521,0.06854214743434314,0.0706581031823772,3.4003718188265375,0.9398213735756082,16235,0.9834924545734525,0.9987680936248845,0.07512390723082828,0.06683427334140393,0.1132496434070063,0.40083384695064156,0.06643187078089127,0.03871667030939417,0.038317014813777917,2.9950146416426353,0.9447489990760702,16235,0.9917462272867262,0.9991376655374191,0.029226761788293663,0.06660231880723434,0.10679510288645591,0.342650729694701
08_000975_000995_s5,08,4,0,15987,27.3665,28.89278821053182,26.6021544667914,29.185404980400538,0.07948170992153514,0.057835208722014905,0.059185382338868164,3.568627553129274,0.9199349471445549,15987,0.9736035528867205,0.9979983736786139,0.05916749748475167,0.0569201342505932,0.15311321045028442,0.43815764557872555,0.06113472042639106,0.02878803877063097,0.028726475238755267,3.2556341600076775,0.9388878463751799,15987,0.9833614812034778,0.9983111277913305,0.021959322212282622,0.05054146762981305,0.1409690101027121,0.4068224963367461,0.09791122868931397,0.08120383216698521,0.08448404857342995,3.7831277222919675,0.9039844873960092,15987,0.9699130543566647,0.9974979670982673,0.08517553911819405,0.0718024068376411,0.16623792059255985,0.45384988587139374,0.0629948519535047,0.030766863638211434,0.030653471823238743,3.216188581360892,0.940889472696566,15987,0.9848627009445174,0.9984362294364171,0.02162512458851981,0.05515826588057722,0.14032771150919252,0.4008149873412154
