clip_id,condition,corrector,band,tp,fp,fn,precision,recall,iou,n_pred_occupied
scene-0003_CAM_FRONT_cd908fdc_6180726f,M2,dilate_r2,20-30m,362,58,3379,0.861904761904762,0.09676557070302058,0.09528823374572255,420
scene-0003_CAM_FRONT_cd908fdc_6180726f,M2,dilate_r2,30-40m,0,0,3233,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_cd908fdc_6180726f,OR,raw,0-10m,149,135,1339,0.5246478873239436,0.10013440860215053,0.0918052988293284,284
scene-0003_CAM_FRONT_cd908fdc_6180726f,OR,raw,10-20m,420,217,2761,0.6593406593406593,0.13203395158755107,0.12360211889346674,637
scene-0003_CAM_FRONT_cd908fdc_6180726f,OR,raw,20-30m,38,28,3703,0.5757575757575758,0.010157711841753542,0.010082249933669409,66
scene-0003_CAM_FRONT_cd908fdc_6180726f,OR,raw,30-40m,0,0,3233,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_cd908fdc_6180726f,OR,dilate_r2,0-10m,611,593,877,0.5074750830564784,0.4106182795698925,0.2936088419029313,1204
scene-0003_CAM_FRONT_cd908fdc_6180726f,OR,dilate_r2,10-20m,1349,1167,1832,0.5361685214626392,0.42408047783715813,0.31025758969641215,2516
scene-0003_CAM_FRONT_cd908fdc_6180726f,OR,dilate_r2,20-30m,251,134,3490,0.6519480519480519,0.06709435979684576,0.0647741935483871,385
scene-0003_CAM_FRONT_cd908fdc_6180726f,OR,dilate_r2,30-40m,0,0,3233,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M0,raw,0-10m,10,4,1466,0.7142857142857143,0.006775067750677507,0.006756756756756757,14
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M0,raw,10-20m,100,227,3416,0.3058103975535168,0.02844141069397042,0.026716537536735238,327
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M0,raw,20-30m,18,2,3990,0.9,0.004491017964071856,0.004488778054862843,20
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M0,raw,30-40m,3,36,3120,0.07692307692307693,0.0009606147934678194,0.000949667616334283,39
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M0,dilate_r2,0-10m,25,45,1451,0.35714285714285715,0.016937669376693765,0.01643655489809336,70
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M0,dilate_r2,10-20m,304,925,3212,0.24735557363710334,0.08646188850967008,0.06845305111461382,1229
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M0,dilate_r2,20-30m,111,33,3897,0.7708333333333334,0.027694610778443114,0.02746844840386043,144
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M0,dilate_r2,30-40m,36,229,3087,0.13584905660377358,0.011527377521613832,0.010739856801909307,265
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M1,raw,0-10m,32,61,1444,0.34408602150537637,0.02168021680216802,0.02081977878985036,93
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M1,raw,10-20m,112,81,3404,0.5803108808290155,0.03185437997724687,0.03113705865999444,193
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M1,raw,20-30m,42,28,3966,0.6,0.010479041916167664,0.010406342913776016,70
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M1,raw,30-40m,0,0,3123,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M1,dilate_r2,0-10m,180,238,1296,0.430622009569378,0.12195121951219512,0.10501750291715285,418
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M1,dilate_r2,10-20m,526,484,2990,0.5207920792079208,0.1496018202502844,0.1315,1010
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M1,dilate_r2,20-30m,219,172,3789,0.5601023017902813,0.05464071856287425,0.05239234449760766,391
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M1,dilate_r2,30-40m,0,0,3123,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M2,raw,0-10m,59,56,1417,0.5130434782608696,0.03997289972899729,0.038511749347258484,115
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M2,raw,10-20m,136,60,3380,0.6938775510204082,0.038680318543799774,0.03803131991051454,196
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M2,raw,20-30m,27,30,3981,0.47368421052631576,0.006736526946107785,0.006686478454680535,57
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M2,raw,30-40m,0,0,3123,0.0,0.0,0.0,0
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M2,dilate_r2,0-10m,355,239,1121,0.5976430976430976,0.2405149051490515,0.20699708454810495,594
scene-0003_CAM_FRONT_1ac0914c_e617edf7,M2,dilate_r2,10-20m,696,383,2820,0.6450417052826691,0.19795221843003413,0.17850730956655553,1079
